TOWN NAME,SIZE FLAG,REGION/COUNTRY,WORKPLACE FLAG,INCOME FLAG,COASTAL CLASSIFICATION,Population
Carlton in Lindrick,Small,East Midlands,Residential,High Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(5764), '2002': np.int64(5712), '2003': np.int64(5728), '2004': np.int64(5678), '2005': np.int64(5646), '2006': np.int64(5666), '2007': np.int64(5649), '2008': np.int64(5611), '2009': np.int64(5564), '2010': np.int64(5491), '2011': np.int64(5454), '2012': np.int64(5425), '2013': np.int64(5466), '2014': np.int64(5475), '2015': np.int64(5465), '2016': np.int64(5445), '2017': np.int64(5437), '2018': np.int64(5440), '2019': np.int64(5454)}"
Dorchester (West Dorset),Small,South West,Working,Middle Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(16267), '2002': np.int64(16742), '2003': np.int64(17106), '2004': np.int64(17313), '2005': np.int64(17510), '2006': np.int64(17829), '2007': np.int64(18123), '2008': np.int64(18367), '2009': np.int64(18540), '2010': np.int64(18773), '2011': np.int64(19031), '2012': np.int64(19152), '2013': np.int64(19521), '2014': np.int64(19633), '2015': np.int64(19750), '2016': np.int64(20254), '2017': np.int64(20633), '2018': np.int64(21082), '2019': np.int64(21438)}"
Ely,Small,East of England,Working,Low Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(14009), '2002': np.int64(14803), '2003': np.int64(15863), '2004': np.int64(15954), '2005': np.int64(16634), '2006': np.int64(17153), '2007': np.int64(17694), '2008': np.int64(18107), '2009': np.int64(18605), '2010': np.int64(18849), '2011': np.int64(19270), '2012': np.int64(19591), '2013': np.int64(19543), '2014': np.int64(19948), '2015': np.int64(20053), '2016': np.int64(20144), '2017': np.int64(20255), '2018': np.int64(20321), '2019': np.int64(20330)}"
Market Weighton,Small,Yorkshire and The Humber,Residential,Low Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(5242), '2002': np.int64(5505), '2003': np.int64(5623), '2004': np.int64(5740), '2005': np.int64(5851), '2006': np.int64(5993), '2007': np.int64(6025), '2008': np.int64(6209), '2009': np.int64(6235), '2010': np.int64(6344), '2011': np.int64(6456), '2012': np.int64(6647), '2013': np.int64(6711), '2014': np.int64(6821), '2015': np.int64(6933), '2016': np.int64(7061), '2017': np.int64(7177), '2018': np.int64(7198), '2019': np.int64(7332)}"
Downham Market,Small,East of England,Residential,High Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(7578), '2002': np.int64(8043), '2003': np.int64(8331), '2004': np.int64(8823), '2005': np.int64(9136), '2006': np.int64(9512), '2007': np.int64(9927), '2008': np.int64(10220), '2009': np.int64(10377), '2010': np.int64(10634), '2011': np.int64(10882), '2012': np.int64(10974), '2013': np.int64(11192), '2014': np.int64(11349), '2015': np.int64(11650), '2016': np.int64(11841), '2017': np.int64(11937), '2018': np.int64(11871), '2019': np.int64(11910)}"
Penrith,Small,North West,Working,Low Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(14431), '2002': np.int64(14447), '2003': np.int64(14623), '2004': np.int64(14525), '2005': np.int64(14571), '2006': np.int64(14745), '2007': np.int64(14760), '2008': np.int64(14833), '2009': np.int64(14926), '2010': np.int64(15087), '2011': np.int64(15172), '2012': np.int64(15232), '2013': np.int64(15267), '2014': np.int64(15287), '2015': np.int64(15324), '2016': np.int64(15376), '2017': np.int64(15494), '2018': np.int64(15542), '2019': np.int64(15880)}"
Bolsover,Small,East Midlands,Residential,High Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(11637), '2002': np.int64(11708), '2003': np.int64(11657), '2004': np.int64(11741), '2005': np.int64(11748), '2006': np.int64(11791), '2007': np.int64(11878), '2008': np.int64(11779), '2009': np.int64(11770), '2010': np.int64(11827), '2011': np.int64(11767), '2012': np.int64(12002), '2013': np.int64(12042), '2014': np.int64(12104), '2015': np.int64(12052), '2016': np.int64(12019), '2017': np.int64(12014), '2018': np.int64(11984), '2019': np.int64(11996)}"
March,Medium,East of England,Residential,High Deprivation,Larger non-coastal towns,"{'2001': np.int64(18024), '2002': np.int64(18350), '2003': np.int64(18863), '2004': np.int64(19185), '2005': np.int64(19483), '2006': np.int64(19907), '2007': np.int64(20371), '2008': np.int64(20717), '2009': np.int64(20881), '2010': np.int64(21054), '2011': np.int64(21078), '2012': np.int64(21084), '2013': np.int64(21174), '2014': np.int64(21300), '2015': np.int64(21426), '2016': np.int64(21489), '2017': np.int64(21669), '2018': np.int64(21797), '2019': np.int64(21768)}"
Southam,Small,West Midlands,Working,Low Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(6532), '2002': np.int64(6558), '2003': np.int64(6522), '2004': np.int64(6496), '2005': np.int64(6563), '2006': np.int64(6582), '2007': np.int64(6600), '2008': np.int64(6604), '2009': np.int64(6519), '2010': np.int64(6531), '2011': np.int64(6571), '2012': np.int64(6581), '2013': np.int64(6542), '2014': np.int64(6529), '2015': np.int64(6493), '2016': np.int64(6531), '2017': np.int64(6633), '2018': np.int64(6842), '2019': np.int64(7098)}"
Royston,Small,East of England,Working,Low Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(14660), '2002': np.int64(14730), '2003': np.int64(14940), '2004': np.int64(15038), '2005': np.int64(15187), '2006': np.int64(15349), '2007': np.int64(15406), '2008': np.int64(15473), '2009': np.int64(15662), '2010': np.int64(15799), '2011': np.int64(15859), '2012': np.int64(15896), '2013': np.int64(16036), '2014': np.int64(16308), '2015': np.int64(16409), '2016': np.int64(16625), '2017': np.int64(16911), '2018': np.int64(16949), '2019': np.int64(17042)}"
Studley,Small,West Midlands,Working,Low Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(6236), '2002': np.int64(6328), '2003': np.int64(6274), '2004': np.int64(6195), '2005': np.int64(6167), '2006': np.int64(6156), '2007': np.int64(6176), '2008': np.int64(6208), '2009': np.int64(6193), '2010': np.int64(6232), '2011': np.int64(6202), '2012': np.int64(6147), '2013': np.int64(6066), '2014': np.int64(6152), '2015': np.int64(6191), '2016': np.int64(6126), '2017': np.int64(6037), '2018': np.int64(6150), '2019': np.int64(6248)}"
Irthlingborough,Small,East Midlands,Residential,Middle Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(6192), '2002': np.int64(6379), '2003': np.int64(6534), '2004': np.int64(6680), '2005': np.int64(6855), '2006': np.int64(7119), '2007': np.int64(7343), '2008': np.int64(7349), '2009': np.int64(7436), '2010': np.int64(7503), '2011': np.int64(7523), '2012': np.int64(7576), '2013': np.int64(7642), '2014': np.int64(7803), '2015': np.int64(7915), '2016': np.int64(8101), '2017': np.int64(8130), '2018': np.int64(8109), '2019': np.int64(8142)}"
Freshwater,Small,South East,Residential,High Deprivation,Smaller seaside towns ,"{'2001': np.int64(7886), '2002': np.int64(7846), '2003': np.int64(7839), '2004': np.int64(7966), '2005': np.int64(8014), '2006': np.int64(7976), '2007': np.int64(7951), '2008': np.int64(7996), '2009': np.int64(7937), '2010': np.int64(7938), '2011': np.int64(7832), '2012': np.int64(7870), '2013': np.int64(7770), '2014': np.int64(7741), '2015': np.int64(7730), '2016': np.int64(7799), '2017': np.int64(7827), '2018': np.int64(7938), '2019': np.int64(7928)}"
Barnoldswick,Small,North West,Mixed,Middle Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(10491), '2002': np.int64(10444), '2003': np.int64(10516), '2004': np.int64(10482), '2005': np.int64(10440), '2006': np.int64(10498), '2007': np.int64(10312), '2008': np.int64(10384), '2009': np.int64(10462), '2010': np.int64(10485), '2011': np.int64(10444), '2012': np.int64(10436), '2013': np.int64(10554), '2014': np.int64(10474), '2015': np.int64(10401), '2016': np.int64(10373), '2017': np.int64(10241), '2018': np.int64(10271), '2019': np.int64(10362)}"
Wirksworth,Small,East Midlands,Residential,Middle Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(4944), '2002': np.int64(4995), '2003': np.int64(5072), '2004': np.int64(5103), '2005': np.int64(5013), '2006': np.int64(4991), '2007': np.int64(4939), '2008': np.int64(4965), '2009': np.int64(5017), '2010': np.int64(5023), '2011': np.int64(5034), '2012': np.int64(5090), '2013': np.int64(5144), '2014': np.int64(5145), '2015': np.int64(5133), '2016': np.int64(5099), '2017': np.int64(5093), '2018': np.int64(5140), '2019': np.int64(5180)}"
Dalton-in-Furness,Small,North West,Residential,Middle Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(8067), '2002': np.int64(8012), '2003': np.int64(7955), '2004': np.int64(7957), '2005': np.int64(8026), '2006': np.int64(7951), '2007': np.int64(7957), '2008': np.int64(7955), '2009': np.int64(7878), '2010': np.int64(7827), '2011': np.int64(7838), '2012': np.int64(7784), '2013': np.int64(7805), '2014': np.int64(7762), '2015': np.int64(7700), '2016': np.int64(7632), '2017': np.int64(7577), '2018': np.int64(7507), '2019': np.int64(7424)}"
Bedlington,Small,North East,Residential,High Deprivation,Smaller non-coastal towns ,"{'2001': np.int64(16326), '2002': np.int64(16533), '2003': np.int64(16768), '2004': np.int64(16803), '2005': np.int64(16966), '2006': np.int64(17000), '2007': np.int64(16952), '2008': np.int64(16908), '2009': np.int64(16900), '2010': np.int64(16906), '2011': np.int64(16943), '2012': np.int64(16967), '2013': np.int64(16957), '2014': np.int64(16894), '2015': np.int64(16829), '2016': np.int64(16831), '2017': np.int64(16987), '2018': np.int64(16963), '2019': np.int64(17081)}"
