element,priority,confidence,language,origin,meaning,period,category
inver,120,1.00,Scottish Gaelic,Celtic,river mouth,Early Medieval,Settlement
aber,110,1.00,Brittonic,Celtic,river mouth or confluence,Pre-Roman,Settlement
llan,110,1.00,Welsh,Celtic,church enclosure,Early Medieval,Religion
caer,110,1.00,Brittonic,Celtic,fort,Iron Age,Fortification
kirk,110,0.98,Old Norse,Germanic,church,Viking,Religion
glen,105,1.00,Scottish Gaelic,Celtic,valley,Early Medieval,Topography
drum,105,0.98,Scottish Gaelic,Celtic,ridge,Early Medieval,Topography
nant,105,0.98,Welsh,Celtic,stream or valley,Pre-Roman,Topography
tre,100,0.98,Welsh,Celtic,farm or settlement,Early Medieval,Settlement
pen,100,0.90,Brittonic,Celtic,hill or head,Pre-Roman,Topography
cwm,100,1.00,Welsh,Celtic,valley,Pre-Roman,Topography
bal,100,0.95,Scottish Gaelic,Celtic,farm or township,Early Medieval,Settlement
ben,100,1.00,Scottish Gaelic,Celtic,mountain,Early Medieval,Topography
ard,100,0.95,Scottish Gaelic,Celtic,height or promontory,Early Medieval,Topography
strat,95,0.95,Latin,Romance,Roman road,Roman,Road
beau,90,0.60,Norman French,Romance,beautiful,Norman,Descriptor
mont,90,0.80,Norman French,Romance,hill or mountain,Norman,Topography
bel,80,0.40,Norman French,Romance,beautiful,Norman,Descriptor
ach,80,0.70,Scottish Gaelic,Celtic,field,Early Medieval,Landscape
avon,75,1.00,Brittonic,Celtic,river,Pre-Roman,Hydronym
esk,75,0.90,Brittonic,Celtic,water or river,Pre-Roman,Hydronym
usk,75,0.90,Brittonic,Celtic,water or river,Pre-Roman,Hydronym
exe,75,0.90,Brittonic,Celtic,river,Pre-Roman,Hydronym
don,75,0.85,Brittonic,Celtic,river,Pre-Roman,Hydronym
dee,75,0.85,Brittonic,Celtic,river,Pre-Roman,Hydronym
kil,75,0.80,Scottish Gaelic,Celtic,church,Early Medieval,Religion
