PlaceName,Etymology,Derivation,ReferenceTitle
Addington,'Farm/settlement connected with Eadda/AEddi'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Adstock,'Aeddi's/Eadda's outlying farm/settlement'.,"Personal name (Old English) Old English - Personal name; stoc Old English - A place, a secondary settlement.",Place-names of Buckinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Akeley,"'Wood/clearing growing with oaks'. Alternatively, perhaps 'Aca's wood/clearing'.","āc Old English - An oak-tree.; ācen Old English - Oaken: growing with oak-trees, or made of oak.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Place-names of Buckinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Amersham,'Ealhmund's/*Ealhmod's homestead/village'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashendon,"'Hill growing with ash-trees'. The prominent hill on which the village is situated would have made a good meeting-place, although the exact site is unknown.",æscen Old English - Growing with ash-trees; ashen; made of ash.; dūn Old English - A hill.; hundred Old English - One hundred; an administrative division of a county.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Anderson (unspecified work); Place-names of Buckinghamshire
Ashley Green,'Ash-tree wood/clearing'.,"æsc Old English; grēne Old English - Green, grass-grown.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aston Abbots,'East farm/seettlemnt'. It was held by St. Albans abbey.,"abbas Latin - An abbot.; ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names
Aston Clinton,'East farm/settlement'. It was held by Willelmus de Clinton in 1208 but the entry 'Eston et Clynton' suggests that the affix may be a lost place-name.,"ēast Old English - Eastern, east.; Family name Unknown - Family name.; Place-name Unknown - Place-name; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; A.D. Mills; Dictionary of English Place-Names
Aston Sandford,'East farm/settlement'. It was held by John de Sanford in 1199/,"ēast Old English - Eastern, east.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire
Astwood,'East wood'.,"ēast Old English - Eastern, east.; wudu Old English - A wood; or wood, timber.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Buckinghamshire; A.D. Mills; Dictionary of English Place-Names
Aylesbury,"'At *Aegel's fortification'. The village of Stone may have been the site of the meeting-place. Later, it absorbed the DB hundreds of Stone and Risborough (see entries).",burh Old English - A fortified place.; hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name,Anderson (unspecified work); A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Barton Hartshorn,"'Barley farm'. Originally two separate places, Hartshorn is now lost.","bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.; Place-name Unknown - Place-name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire; E. Ekwall; Dictionary of English Place-Names
Beachampton,"'Stream home-farm' or perhaps, 'farm/settlement of the stream dwellers'.",bǣce Old English - A beach.; hǣme Old English - The inhabitants of a place.; hām-tūn Old English - A home farm.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Place-names of Buckinghamshire
Beaconsfield,'Open land of the beacon'.,"bēacen Old English - A sign, a signal, a beacon.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Buckinghamshire
Biddlesden,"'Valley of the house' or perhaps, '*Byttel's valley'.","bytle Old English - A building, a house.; denu Old English - A valley.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Bierton with Broughton,'Fortification farm/settlement'. 'Brook farm/settlement'.,"brōc Old English - A brook, a stream.  (Used of a stream with a muddy bed and a visible sediment load.); burh-tūn Old English - A fort enclosure; a farm with a palisade; a farm at, or belonging to, or which is, a fortification, fortified house, or manorhouse.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Place-names of Buckinghamshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
