PlaceName,Etymology,Derivation,ReferenceTitle
Abington Pigotts,'Farm/settlement connected with Abba'. The family of John Pykot held the between manor c. 1427 and 1802.,"-ingtūn Old English - A settlement called after, or connected with . . .; Family name Unknown - Family name.; Personal name (Old English) Old English - Personal name",Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Armingford Hundred,,-ingas Old English - The people of . . . ; the people called after . . .; ford Old English - A ford.; hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name,Anderson (unspecified work); Reaney; Place-names of Cambridgeshire and the Isle of Ely
Arrington,'Farm/settlement of *Earn(a)'s people'.,-ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ashley cum Silverley,'Ash-tree wood/clearing'. 'Silver wood/clearing'.,"æsc Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; seolfor Old English - Silver; in place-names, most likely to refer to colour.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Babraham,"'*Beaduburh's homestead/village', feminine personal name.","hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Balsham,'Baelli's homestead/village'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Barrington,"'Farm/settlement connected with *Bara'or perhaps, '*Bara's farm/settlement'.","-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names
Bartlow,"'Birch-tree burial-mounds', referring to the Bartlow Hills, a Romano-British barrow cemetery dating from the 1st to 2nd centuries AD.",berc Old English; hlāw Old English - A tumulus; a hill.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names
Bartlow End,Formerly a part of Ashdon parish. Bartlow is in Cambridgeshire,"ende Old English - An end; the end of something, the end of an estate, a district or quarter of a village or town.; Place-name Unknown - Place-name",Reaney; Place-names of Essex; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Barton,'Barley farm/settlement'.,"bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Bassingbourn,'Stream of *Bas(s)a's people'.,-ingas Old English - The people of . . . ; the people called after . . .; burna Old English - A stream.; Personal name (Old English) Old English - Personal name,Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Benwick,"Uncertain. 'Bean (specialised) farm' or perhaps, 'tree (specialised) farm'.","bēam Old English - A tree; the cross on which Christ was crucified; a beam of timber.; bēan Old English - A bean.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Borough Fen,An extra-parochial district comprising area of fenland to north of Peterborough lying within Northamptonshire.,burh Old English - A fortified place.; fen Modern English - A fen.,"Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Bottisham,'*Boduc's homestead/village' or '*Boduc's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Bourn,'Spring/stream'.,"brunnr Old Norse - A well, a spring.; burna Old English - A stream.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Boxworth,"Uncertain. '*Bucc's enclosure' or perhaps, 'buck's enclosure'.","bucc Old English - A buck, a male deer.; Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Brinkley,'Brynca's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names
Burrough Green,"'Fortification', with the later addition of 'village green'.","burh Old English - A fortified place.; grēne Old English - Green, grass-grown.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Burwell,'Fortification spring/stream.',burh Old English - A fortified place.; wella Old English,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Caldecote,'Cold cottages'.,"cald Old English; cot Old English - A cottage, a hut, a shelter, a den.",A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Cambridge,"'Bridge over the River Granta'. In earliest references it was called Grantchester, in reference to the Roman town of Duroliponte.",brycg Old English - A bridge; a causeway.; River-name Unknown - River-name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Rivet & Smith; Place-names of Roman Britain; A.D. Mills; Dictionary of English Place-Names
Carlton cum Willingham,'Free peasants' farm/settlement'. 'Homestead/village of *Wifel's people'.,"-ingahām Old English - The village of the people of . . . ; the village of the people called after . . .; ceorl Old English - A freeman of the lower class, a peasant.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Castle Camps,"'Fields'. Castle, a much later addition, refers to the Norman motte and bailey castle built by Aubrey de Vere, of which only the bank and moat remain.","camp Old English - A field, an enclosed piece of land.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Caxton,'*Kakkr's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Chatteris,"Uncertain. Probably 'Ceatta's narrow strip of land' but perhaps, 'narrow strip of woodland'.",cē¸d C; Personal name (Old English) Old English - Personal name; ric Old English - A raised straight strip. (Uncertain),Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Cherry Hinton,"Probably, 'community's farm/settlement'. 'Cherry' because of the trees which grew there.","hīwan Old English - A household, the members of a family (plural).; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names
Chesterton,"'Roman site farm/settlement', referring to the Roman station north of the Cam at Cambridge. The hundred takes its name from Chesterton parish, but the site of the meeting-place is unknown.",ceaster Old English - A city; an old fortification; a Roman site.; hundred Old English - One hundred; an administrative division of a county.; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Anderson (unspecified work); Reaney; Place-names of Cambridgeshire and the Isle of Ely
Cheveley,"Uncertain. 'Chaff wood/clearing', in the sense of litter and fallen twigs, or perhaps, 'chaffinch wood/clearing'. The hundred takes its name from Cheveley parish, but the exact site of the meeting-place is unknown.","ceaf Old English - Chaff.; hundred Old English - One hundred; an administrative division of a county.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; Anderson (unspecified work); A.D. Mills; Dictionary of English Place-Names
Childerley,'Children's wood/clearing '.,"cild Old English - A child, a young person, a boy, a son.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Chippenham,'*Cippa's homestead/village' or '*Cippa's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Comberton,"Probably, 'Cumbra's farm/settlement' but perhaps, 'Cumbrian Briton's farm/settlement'.","Cumbre Old English - The Cymry, the Welsh, the Cumbrian Britons.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names
Conington,'King's farm/settlement'.,kunung Old Norse; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Coton,'Cottages'.,"cot Old English - A cottage, a hut, a shelter, a den.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Cottenham,'Cot(t)a's homestead/village' or 'Cot(t)a's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Coveney,"'*Cofa's island' or perhaps, 'cove's/bay's island', as it is situated in an area of re-claimed fen.","cofa Old English - An inner chamber; a cave, a cove.; ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; Personal name (Old English) Old English - Personal name",Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Croxton,'Croc's farm/settlement'. Croc is a late OE name probably derived from ON Krokr.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Croydon cum Clopton,'Crow valley'. 'Hill-farm/settlement'.,"clopp Old English - A lump, a hillock, a hill.; crāwe Old English - A crow.; denu Old English - A valley.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Doddington,"Probably, 'farm/settlement connected with Dud(d)a/Dod(d)a'.","-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely
Dry Drayton,"'Portage farm/settlement' or 'dragging-place farm/settlement'. 'Dry' not because of the soil, but because of its upland position and to distinguish from Fen Drayton.","dræg Old English - A drag, a portage, a slip-way; a dray, a sled.; drȳge Old English - Dry, dried up.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names
Dullingham,'Homestead/village of Dull(a)'s people'.,-ingahām Old English - The village of the people of . . . ; the village of the people called after . . .; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Duxford,'*Duc(c)'s enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
East Hatley,"Uncertain. Possibly, wood/clearing by *Haette (= the hat-shaped hill)'or perhaps, '*Haette's wood/clearing'. 'East' to distinguish from other Hatleys.","ēast Old English - Eastern, east.; hætt Old English - A hat; topographically a hill thought to rememble a hat.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Elm,'Elm-tree(s)'.,elm Old English - An elm-tree.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Cambridgeshire and the Isle of Ely; A.D. Mills; Dictionary of English Place-Names
