PlaceName,Etymology,Derivation,ReferenceTitle
Above Derwent,"Originally a township in Crosthwaite, it was made a civil parish in 1866.",Place-name Unknown - Place-name,Armstrong et al.; Place-names of Cumberland; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Aikton,'Oak-tree farm/settlement'.,eik Old Norse - An oak-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; E. Ekwall; Dictionary of English Place-Names
Ainstable,'Bracken slope' or 'fern slope'.,"einstapi Old Norse - Fern, bracken.; hlið Old English - A slope, a hill-side.",Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Allhallows,"'All saints'. Originally, late L. capellae omnium Sanctorum de Ukmanby: 'the chapel of all saints of Uckmanby'.","cappella Latin - Chapel, church.; omni Latin - All, every, whole.; sancio Latin - Consecrate; to make hallowed.",Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Allonby,'Alein's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Uncertain) Unknown - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; Watts; Cambridge Dictionary of English Place-names
Alston with Garrigill,'Halfdan's farm/settlement'.,gil Old Norse; Personal name (Old Norse) Old Norse - Personal name; Personal name (Uncertain) Unknown - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; Watts; Cambridge Dictionary of English Place-names
Arlecdon,"Possibly, 'eagle stream valley'.","denu Old English - A valley.; earn Old English - An eagle.; lacu Old English - A small stream, a watercourse.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names
Arthuret,Obscure.,Obscure element Unknown - Obscure element,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland; Watts; Cambridge Dictionary of English Place-names
Askerton,'Asgeirre's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Armstrong et al.; Place-names of Cumberland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aspatria and Brayton,'Patrick's ash-tree'. The second element reflects later assimilation with L. patria.,"askr Old Norse - An ash-tree.; brād Old English - Broad, spacious, wide, large.; Personal name (Uncertain) Unknown - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Armstrong et al.; Place-names of Cumberland; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Bassenthwaite,'Bastun's clearing'.,"Personal name (Uncertain) Unknown - Personal name; þveit Old Norse - A clearing, a meadow, a paddock.",Armstrong et al.; Place-names of Cumberland; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Beaumont,'Beautiful hill'.,"bel Old French - Fair, beautiful.; mont Old French - Hill, mountain.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Armstrong et al.; Place-names of Cumberland
