PlaceName,Etymology,Derivation,ReferenceTitle
Battersea,'Beaduric's island'. 11th and 12th century forms indicate attempts to associate the place with St. Patrick.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names
Bermondsey,'Beornmund's island'.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey
Bethnal Green,"'*Blitha's nook of land', or perhaps, 'pleasant nook of land', with the later addition of 'village green'.","blīðe Old English - Cheerful, pleasant, gentle.; halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Bow,"'Bow-shaped bridge'. Originally, known as Stratford at Bow (1279). The bridge is thought to have been built by Queen Maude some time in the 12th century.","boga Old English - A bow, an arch; an arched bridge; a bow (for shooting); something curved or bent, such as a river bend or curved valley.",E. Ekwall; Dictionary of English Place-Names; Mills; Dictionary of London Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; Watts; Cambridge Dictionary of English Place-names
Brixton Hundred,"'Beorhtsige's stone'. A 'Bricsi' owned land at Hatcham near Brixton in 1066. The stone was in Lambeth parish on Brixton Hill on the London-Streatham road. Brixton was not the name of the inhabited district until the 19th century. The hundred site, accordi","hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name; stān Old English - A stone, stone, rock.",Gover et al.; Place-names of Surrey; Anderson (unspecified work)
Bromley,'Brambley wood/clearing'.,"bræmbel Old English - Bramble.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Mills; Dictionary of London Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Camberwell,"Uncertain. Possibly, '*Cantbeohrt's spring/stream'. A borrowed L. camera, 'vault, room' has also been suggested, perhaps referring to a building at the place.",Personal name (Old English) Old English - Personal name; wella Old English,Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Charlton,'Farm/estate of the freemen or peasants' (OE ceorl in the genitive plural form ceorla). The recurrent place-name C(h)arlton may have a specific administrative sense. This is Charlton-next-Woolwich; the name recurs in Charlton-by-Dover.,"ceorl Old English - A freeman of the lower class, a peasant.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names
Chelsea,"'Chalk/limestone landing-place'. The name may refer either to the geological character of the place, or the type of goods that were landed there.",calc Old English; hȳð Old English - A landing place on a river; an inland port.,A.D. Mills; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; E. Ekwall; Dictionary of English Place-Names; Mills; Dictionary of London Place-Names; Watts; Cambridge Dictionary of English Place-names
Clapham,'Hill homestead/village' or 'hemmed-in land near hills'.,"clopp Old English - A lump, a hillock, a hill.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
