PlaceName,Etymology,Derivation,ReferenceTitle
" West Tisted","'Young goat place' or perhaps, '*Ticce's place'. 'West' to distinguish from East Tisted.","stede Old English - A place, a site, a locality; a religious house or foundation; a place of communal activity; a farm, a dairy-farm, an estate.; ticcen Old English - A kid, a young goat.; west Old English - Western, west.",Coates; Hampshire Place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
(West) Blagdon Fm,Dark-coloured hill.,"blæc Old English - Black, dark-coloured, dark.; dūn Old English - A hill.; park Middle English - An enclosed tract of land for beasts of the chase.",
Abbot's Ann,"Refers to land on the River Ann held by the abbot of New Minster, Winchester.",abbas Latin - An abbot.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Coates; Hampshire Place-names; A.D. Mills; Dictionary of English Place-Names
Aldershot,'Alder-tree corner'.,"alor Old English - An alder-tree.; scēat Old English - A corner of land, an angle, a projecting piece of land.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Coates; Hampshire Place-names
Alton,'River-source farm/settlement'.,ǣwell Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,Coates; Hampshire Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Alverstoke,"Probably, '*Aethelwaru's/Aelfwaru's outlying farm/settlement', a feminine personal name. Tradition holds that she donated the manor to St. Swithin's, Winchester. Spellings show later confusion with the masculine personal name, Aethelweard.","Personal name (Old English) Old English - Personal name; stoc Old English - A place, a secondary settlement.",A.D. Mills; Dictionary of English Place-Names; Coates; Hampshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Amport,The place is situated on the River Ann and was held by Hugh de Port.,Family name Unknown - Family name.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Coates; Hampshire Place-names; A.D. Mills; Dictionary of English Place-Names
Andover,"Uncertain. 'Ash-tree waters' or perhaps, 'waters at a place called Onn (= ash-tree)'.",dubro- C; onn C,E. Ekwall; Dictionary of English Place-Names; Coates; Hampshire Place-names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Andwell,'Duck stream'.,ened Old English - A duck.; wella Old English,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Coates; Hampshire Place-names; A.D. Mills; Dictionary of English Place-Names
Appleshaw,'Apple-tree wood'.,æppel Old English; sceaga Old English - A small wood.,Coates; Hampshire Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
