PlaceName,Etymology,Derivation,ReferenceTitle
Abbots Langley,'Long wood/clearing'. It was held at one time by the abbot of St. Albans.,"lang Old English - Long, tall.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire
Albury,'Old fortification'.,ald Old English; burh Old English - A fortified place.,Gover et al.; Place-names of Hertfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aldbury,'Old fortification'.,ald Old English; burh Old English - A fortified place.,Gover et al.; Place-names of Hertfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aldenham,"'Old homestead/village' or perhaps, 'Ealda's homestead/village'.",Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire; Watts; Cambridge Dictionary of English Place-names
Anstey,"Probably, 'steep narrow footpath', but the exact form and meaning of the term remains unclear.","ān-stiga Old English - A short ascending road, usually forking at either end.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire
Ardeley,'Earda's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashwell,'Ash-tree spring/stream'.,æsc Old English; wella Old English,Gover et al.; Place-names of Hertfordshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aspenden,'Aspen-tree valley'.,æspe Old English; denu Old English - A valley.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire; Watts; Cambridge Dictionary of English Place-names
Aston,'East farm/settlement'.,"ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Hertfordshire; E. Ekwall; Dictionary of English Place-Names
Ayot St. Lawrence and St. Peter,"'*Aega's gate', perhaps referring to a gap in the hills between the two Ayots. The churches are dedicated to St. Lawrence and St. Peter.","geat Old English - A hole, an opening, a gap, a pass, a passage; a gate(way).; Personal name (Old English) Old English - Personal name; Saint's Name Unknown - Saint's name.",Gover et al.; Place-names of Hertfordshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Baldock,"Founded by the Knights Templar in the 12th century who called it Baldac, after the OFr for 'Baghdad'.",Place-name Unknown - Place-name,Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Hertfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Barkway,'Birch-tree road'.,berc Old English; weg Old English - A road.,A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Barley,'*Be(o)ra's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bayford,'Baega's ford'.,ford Old English - A ford.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Hertfordshire
Bengeo,'Hill-spur of the River Beane dwellers'.,-ingas Old English - The people of . . . ; the people called after . . .; hōh Old English - A heel; a sharply projecting piece of ground.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Hertfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
