PlaceName,Etymology,Derivation,ReferenceTitle
Adgestone,'Aefic's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Afton,'Aeffa's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Kosterlitz; The Place-names of the Isle of Wight; Mills; The Place-names of the Isle of Wight; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Alverstone,'Aelfred's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Kosterlitz; The Place-names of the Isle of Wight; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mills; The Place-names of the Isle of Wight
Alverstone,'Aelfred's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Kosterlitz; The Place-names of the Isle of Wight; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mills; The Place-names of the Isle of Wight
Alvington Manor,'Aelfwynn's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Apes Down,'Abbess' down'.,abbesse Middle English - An abbess.; dūn Old English - A hill.,A.D. Mills; Dictionary of English Place-Names; Kosterlitz; The Place-names of the Isle of Wight; E. Ekwall; Dictionary of English Place-Names; Mills; The Place-names of the Isle of Wight; Watts; Cambridge Dictionary of English Place-names
Appleford,'Apple-tree ford'.,apuldor Old English - An apple-tree.; ford Old English - A ford.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Appuldurcombe House,'Apple-tree valley'.,"apuldor Old English - An apple-tree.; cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.",A.D. Mills; Dictionary of English Place-Names; Kosterlitz; The Place-names of the Isle of Wight; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; E. Ekwall; Dictionary of English Place-Names
Apse Manor Farm,'Aspen-tree'.,æspe Old English,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Arreton,'Farm/settlement connected with Eadhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Arreton Down,"'Barley hill' or possibly, 'swine-pasture hill' from the earlier name, 'Beredun'. It is not recorded as Arreton Down until c.1540.","bǣr Old English - Pasture, especially pasture in woodland for swine.; bere Old English - Barley.; dūn Old English - A hill.; Place-name Unknown - Place-name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Ashey,"Either, 'ash-tree hedge' or 'Aesc's hedge'.","æsc Old English; hege Old English - A hedge, a fence.; Personal name (Old English) Old English - Personal name",Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Atherfield,'Open land of Aethelhere's people'.,"-ingas Old English - The people of . . . ; the people called after . . .; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; Personal name (Old English) Old English - Personal name",Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bagwich,"Uncertain. Perhaps, 'Bacga's (specialised) farm' or '(specialised) farm at the bag-shaped feature'.","bagga Old English - A bag; a badger.; Personal name (Old English) Old English - Personal name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; Kosterlitz; The Place-names of the Isle of Wight; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mills; The Place-names of the Isle of Wight
Barnsley,'Beornfrith's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Barton Manor,"'Fortified farm/settlement'. There may be later confusion with 'barley farm/settlement' or perhaps, show a fusion of two separate place-names.","bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.; burh-tūn Old English - A fort enclosure; a farm with a palisade; a farm at, or belonging to, or which is, a fortification, fortified house, or manorhouse.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Kosterlitz; The Place-names of the Isle of Wight; Mills; The Place-names of the Isle of Wight
Bathingbourne,'Stream of *Beadda's people'.,-ingas Old English - The people of . . . ; the people called after . . .; burna Old English - A stream.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Beaper,'Beautiful retreat'.,beau repaire Old French - A beautiful retreat.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight
Bembridge,'Within the bridge'.,binnan Old English - Within.; brycg Old English - A bridge; a causeway.,Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Billingham,'Hill homestead/village' or 'hill hemmed-in land'.,"billing Old English - A hill, a prominence, a promontory, a ridge.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; The Place-names of the Isle of Wight; Kosterlitz; The Place-names of the Isle of Wight; E. Ekwall; Dictionary of English Place-Names
