PlaceName,Etymology,Derivation,ReferenceTitle
Acol,'Oak wood'.,āc Old English - An oak-tree.; holt Old English - A wood. (Probably of a single species.),"Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; Wallenberg; The Place-Names of Kent; E. Ekwall; Dictionary of English Place-Names"
Acrise,'Oak brushwood'.,"āc Old English - An oak-tree.; hrīs Old English - Shrubs, brushwood.","Wallenberg; The Place-Names of Kent; E. Ekwall; Dictionary of English Place-Names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Watts; Cambridge Dictionary of English Place-names"
Addington,'Farm/settlement connected with Eadda or,"-ing- Old English - Connective particle, linking a first element to a final element.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Adisham,'*Ead(i)'s homestead/village'. *Ead/*Eadi is a monothematic masculine personal name.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name","E. Ekwall; Dictionary of English Place-Names; Ekwall; Studies1; Watts; Cambridge Dictionary of English Place-names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; A.D. Mills; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent; Wallenberg; Kentish Place-Names"
Aldington,'Farm/settlement connected with Ealda'. Ealda is a monothematic masculine personal name.,"-ing- Old English - Connective particle, linking a first element to a final element.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Watts; Cambridge Dictionary of English Place-names"
Alkham,"Probably 'homestead/village in a sheltered place', possibly 'homestead/village near a heathen temple (or used as a sanctuary)'.","alh Old English; hām Old English - A village, a village community, a manor, an estate, a homestead.","E. Ekwall; Dictionary of English Place-Names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Everitt; Continuity and Colonization; Wallenberg; The Place-Names of Kent; Ekwall; Studies1; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Allington,'Farm/settlement connected with,"-ing- Old English - Connective particle, linking a first element to a final element.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Appledore,'Apple-tree'.,apuldor Old English - An apple-tree.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Wallenberg; Kentish Place-Names; A.D. Mills; Dictionary of English Place-Names; The Vocabulary of English Place-Names; Wallenberg; The Place-Names of Kent
Ash,'Ash-tree'. This is Ash-next-Sandwich; the name recurs in Ash-next-Ridley.,æsc Old English,"Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent; Watts; Cambridge Dictionary of English Place-names"
Ash,'Ash-tree'. This is Ash-next-Ridley; the name recurs in Ash-next-Sandwich.,æsc Old English,Wallenberg; The Place-Names of Kent; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Winifred D. Abbott; Thesis on Kent
Ashford,'Ford by a clump of ash-trees'.,æscet Old English - A clump of ash-trees.; ford Old English - A ford.,"Wallenberg; The Place-Names of Kent; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; E. Ekwall; Dictionary of English Place-Names; Ekwall; English River-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names"
Aylesford,'*,ford Old English - A ford.; Personal name (Old English) Old English - Personal name,Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Wallenberg; Kentish Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Badlesmere,'*B,"mere Old English - A pond, a pool, a lake.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent; Watts; Cambridge Dictionary of English Place-names
Bapchild,'Bacca's spring'. Bacca is a monothematic masculine personal name.,celde Old English; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Wallenberg; Kentish Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent; Ekwall; Studies1
Barfrestone,Probably 'Beorhtfri,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Wallenberg; Kentish Place-Names; E. Ekwall; Dictionary of English Place-Names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Wallenberg; The Place-Names of Kent"
Barham,'*Be(o)ra's homestead/village'. *Be(o)ra is a monothematic masculine personal name.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Wallenberg; Kentish Place-Names; A.D. Mills; Dictionary of English Place-Names; Ekwall; Studies1; Wallenberg; The Place-Names of Kent"
Bearsted,'Homestead on a hill'.,"berg Old English; hām-stede Old English - A homestead, the site of a dwelling.",Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Wallenberg; Kentish Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Beckenham,'*Beohha's homestead/village' or '*Beohha's hemmed-in land'. *Beohha is a monothematic masculine personal name.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Wallenberg; Kentish Place-Names; A.D. Mills; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent; Ekwall; Studies1; Mills; Dictionary of London Place-Names
Bekesbourne,"'(Estate called) Burna' [see Littlebourne], with later manorial affix from the de Beche family, here in the late 12th cent.",burna Old English - A stream.; Personal name (Uncertain) Unknown - Personal name,"Wallenberg; The Place-Names of Kent; Watts; Cambridge Dictionary of English Place-names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names"
Benenden,'Woodland pasture connected with Bionna'. Bionna is a monothematic masculine personal name.,"-ing- Old English - Connective particle, linking a first element to a final element.; denn Old English; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Wallenberg; Kentish Place-Names; E. Ekwall; Dictionary of English Place-Names; Wallenberg; The Place-Names of Kent
Bethersden,'*Beaduric's woodland pasture'. *Beaduric is a dithematic masculine personal name.,denn Old English; Personal name (Old English) Old English - Personal name,"Watts; Cambridge Dictionary of English Place-names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Betteshanger,"Perhaps 'wooded slope by a house or building', though the first element may rather be an OE monothematic masculine personal name *Byttel.","bytle Old English - A building, a house.; hangra Old English - A sloping wood.  (Used in settlement-names of a gentle rather than steep slope.); Personal name (Old English) Old English - Personal name","The Vocabulary of English Place-Names; Wallenberg; The Place-Names of Kent; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; Cullen; The Place-names of the Lathes of St Augustine and Shipway, Kent; Watts; Cambridge Dictionary of English Place-names"
Bexley,'Box-tree wood/clearing'.,"byxe Old English - A box-tree; a box-thicket.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Wallenberg; The Place-Names of Kent; E. Ekwall; Dictionary of English Place-Names; Wallenberg; Kentish Place-Names; A.D. Mills; Dictionary of English Place-Names; The Vocabulary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names
