PlaceName,Etymology,Derivation,ReferenceTitle
Abram,'Eadburh's homestead/village' or 'Eadburh's hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; A.D. Mills; Dictionary of English Place-Names
Accrington,'Acorn farm/settlement'.,"æcern Old English - An acorn, perhaps other fruit of similar form, mast.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire
Adlington,'Farm/settlement connected with Eadwulf'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aighton Bailey and Chaigley,"'Oak farm/settlement'. Uncertain. 'Berry wood/clearing' or perhaps, '*Baega's/Baege's/*Baegel's wood/clearing'. 'Ceadd(a)'s/Ceagga's wood/clearing'.","āc Old English - An oak-tree.; beg Old English - A berry.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire
Ainsworth,'Aegen's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aintree,'Lonely tree'.,"einn Old Norse - One.; tré Old Norse - A tree; a large piece of wood, a post, a beam.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire
Aldcliffe,'Alda's cliff'.,"clif Old English - An escarpment, a hill-slope; a river-bank.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aldingham,"'Homestead/village connected with Alda' or perhaps, 'homestead/village of Alda's people'.","-ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Ekwall; Place-names of Lancashire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alkrington,"'Farm/settlement of Alhere's people' or perhaps, more likely, 'farm/settlement connected with Alhere'.","-ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire
Allerton,'Alder-tree farm/settlement'.,alor Old English - An alder-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names
Alston,'Aelf's/Aelfsige's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names
Altcar,'River Alt marsh'.,kjarr Old Norse - Brushwood; a marsh overgrown with brushwood.; River-name Unknown - River-name,E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Altham,"Uncertain. Perhaps, 'swan's hemmed-in land' or 'Aelfgeat's hemmed-in land'.",elfitu Old English; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire
Amounderness Hundred,,"hundred Old English - One hundred; an administrative division of a county.; nes Old Norse - A ness, a headland, a promontory. (Used for larger areas than the Old English word naess.); Personal name (Old Norse) Old Norse - Personal name; vápnatak Old Norse - A wapentake, a sub-division of a county.",Ekwall; Place-names of Lancashire; Anderson (unspecified work)
Anderton,'Eanred's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire; E. Ekwall; Dictionary of English Place-Names
Angerton,"'Pasture farm/settlement' or perhaps, 'bay farm/settlement'.","anger Old English - Grassland, pasture land.; angr Old Norse - A bay.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Ekwall; Place-names of Lancashire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Anglezark,'Anlaf's shieling'.,"erg Old Norse - A shieling, a hill-pasture; a summer-pasture camp, a dairy or grazing out-station.; Personal name (Old Norse) Old Norse - Personal name",A.D. Mills; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ardwick,'Aethelred's specialised farm'.,"Personal name (Old English) Old English - Personal name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire
Arkholme with Cawood,'At the shielings'. 'Jackdaw wood'.,"cā Old English - A jackdaw.; erg Old Norse - A shieling, a hill-pasture; a summer-pasture camp, a dairy or grazing out-station.; wudu Old English - A wood; or wood, timber.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire
Ashton in Makerfield,"'Ash-tree farm/settlement'. Makerfield is an ancient district name formed from a pre-English name *Macer, 'wall', probably referring to ruins and a later OE feld, 'open land'. There are the remains of Roman road near Ashton and it has been supposed that a","æsc Old English; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; maguïr C; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names
Ashton under Lyne,'Ash-tree farm/settlement'.,æsc Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire; E. Ekwall; Dictionary of English Place-Names
Ashton with Stodday,'Ash farm/settlement'. 'Stud enclosure'.,"æsc Old English; haga Old English - A hedge; an enclosure; later a messuage, property.; stōd Old English - A stud, a herd of horses.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ashworth,'Ash-tree enclosure'.,æsc Old English; worð Old English - An enclosure.,A.D. Mills; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aspull,'Aspen-tree hill'.,"æspe Old English; hyll Old English - A hill, a natural eminence or elevated piece of ground.",A.D. Mills; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Astley,'East wood/clearing'.,"ēast Old English - Eastern, east.; wudu Old English - A wood; or wood, timber.",Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Atherton,'Aethelhere's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aughton,'Oak-tree farm/settlement'.,āc Old English - An oak-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Ekwall; Place-names of Lancashire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Baguley,'Badger wood/clearing'.,"bagga Old English - A bag; a badger.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Dodgson; Place-names of Cheshire; Watts; Cambridge Dictionary of English Place-names
Balderstone,'Baldhere's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Ekwall; Place-names of Lancashire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Barley with Wheatley Booth,Uncertain. 'Barley wood/clearing' or 'wild-boar wood/clearing'. 'Wheat wood/clearing'.,"bār Old English - A boar (wild or domestic).; bere Old English - Barley.; bōthe Middle English - A temporary shelter, a covered market-stall.; hwǣte Old English - Wheat.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire
Barnacre with Bonds,"'Barn acre'. Alternatively, perhaps, 'Bianari's acre'. A late name, it may be elliptical for 'Bond's place' or the like.","æcer Old English - A plot of cultivated land; a measure of land which a yoke of oxen could plough in a day. (Indistinguishable from akr.); bere-ærn Old English - A barn, a storehouse for barley and other grain.; Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; Ekwall; Place-names of Lancashire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
