PlaceName,Etymology,Derivation,ReferenceTitle
Aby with Greenfield,'River farm/settlement'. 'Green open land'.,"á Old Norse - A river.; bȳ Old Norse - A farmstead, a village.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; grēne Old English - Green, grass-grown.",Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names
Addlethorpe,'Eardwulf's outlying farm/settlement'.,"Personal name (Old English) Old English - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names
Aisthorpe,'East outlying farm/settlement'.,"ēast Old English - Eastern, east.; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Alford,'Old ford'.,ald Old English; ford Old English - A ford.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names
Algar Kirk,"'Aelfgar's/Alger's church'. The earlier OE circe, 'church', was later replaced by the ON kirk.",kirkja Old Norse - A church.; Personal name (Old English) Old English - Personal name,Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire
Alkborough,'Al(u)ca's hill'.,berg Old English; Personal name (Old English) Old English - Personal name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire
Allington,'Princes' farm/settlement'.,"æðeling Old English - A prince, a nobleman.; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names
Althorpe,'Ali's outlying farm/settlement'.,"Personal name (Old Norse) Old Norse - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire
Alvingham,'Homestead/village of Aelfa's people' or 'homestead/village at Aelfa's place'.,"-ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire
Amber Hill,'Bunting hill'. A late name first recorded 1575.,"amore Old English - A bird; probably the bunting or the yellow hammer.; hyll Old English - A hill, a natural eminence or elevated piece of ground.",Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire
Amcotts,'*Amma's cottages'.,"cot Old English - A cottage, a hut, a shelter, a den.; Personal name (Old English) Old English - Personal name",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names
Ancaster,'An(n)a's Roman site'. The only Roman remains visible today are a collection of 4th century banks and ditches.,ceaster Old English - A city; an old fortification; a Roman site.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Anderby,"Uncertain. 'Arnthorr's farm/settlement' or 'Andri's farm/settlement'. Alternatively, it has been suggested that the first element is ON ondurr, andri, 'snow-shoe', although the exact sense is not clear.","bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name; Personal name (Uncertain) Unknown - Personal name",Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Anwick,'Anna's specialised-farm'.,"Personal name (Old English) Old English - Personal name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire
Apley,'Apple wood/clearing'.,"æppel Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire
Appleby,'Apple-tree farm/settlement'.,"æppel Old English; bȳ Old Norse - A farmstead, a village.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire
Asgarby,'Asgeirr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire
Asgarby,'Asgeirr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashby,'Ash-tree farm/settlement'.,"askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.",E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names
Ashby by Partney,'Ash-tree farm/settlement' by Partney.,"æsc Old English; askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.; Place-name Unknown - Place-name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names
Ashby cum Fenby,'Ash-tree farm/settlement' or 'Aski's farm/settlement'. 'Fen farm/settlement'.,"æsc Old English; askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.; fenn Old English - A fen, a marsh, marshland.; Personal name (Old Norse) Old Norse - Personal name",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire
Ashby de la Launde,'Ash-tree farm/settlement'. It was held by the de la Laund family from the 13th to the15th centuries.,"æsc Old English; askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.; Family name Unknown - Family name.",Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names; Cameon et al.; Place-names of Lincolnshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ashby Puerorum,"Uncertain. 'Ash-tree farm/settleement' or 'Aski's farm/settlement'. Puerorum, 'of the boys', ie., the choir boys of Lincoln Cathedral.","æsc Old English; askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name; puer Latin - A boy, a youth.",E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names
Aslackby,'Aslakr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; Watts; Cambridge Dictionary of English Place-names; Cameron; Dictionary of Lincolnshire Place-names
Asterby,'East farm/settlement'.,"austr Old Norse - East.; bȳ Old Norse - A farmstead, a village.",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names
Aswarby,'Asvarth's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire
Aswardby,'Asvarth's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Atterby,'Eadred's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old English) Old English - Personal name",Cameon et al.; Place-names of Lincolnshire; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aubourn,"Uncertain. 'Alder-tree stream' or perhaps, 'eel stream'. If the latter, OE el, 'eel' may have been replaced by ON al with the same meaning.",áll Old Norse - An eel.; alor Old English - An alder-tree.; burna Old English - A stream.,Cameon et al.; Place-names of Lincolnshire; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aunby,'Aun's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names
Aunsby,"Uncertain. 'Authunn's farm/settlement' or perhaps, 'deserted land' with reference to some nearby Roman ruins.","authn Old Norse - Waste land, deserted land.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",E. Ekwall; Dictionary of English Place-Names; The Vocabulary of English Place-Names; Cameon et al.; Place-names of Lincolnshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Watts; Cambridge Dictionary of English Place-names
Authorpe,'Agi's outlying farm/settlement'.,"Personal name (Old Norse) Old Norse - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",Watts; Cambridge Dictionary of English Place-names; Cameon et al.; Place-names of Lincolnshire; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names
