PlaceName,Etymology,Derivation,ReferenceTitle
Acton,'Oak-tree farm'.,āc Old English - An oak-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names
Ashford,'Ash River ford'.,ford Old English - A ford.; River-name Unknown - River-name,Gover et al; Place-names of Middlesex apart from the City of London; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Chiswick,'Cheese (specialised) farm'.,"cēse Old English; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",E. Ekwall; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; A.D. Mills; Dictionary of English Place-Names; Mills; Dictionary of London Place-Names; Watts; Cambridge Dictionary of English Place-names
Cowley,'*Cofa's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Gover et al; Place-names of Middlesex apart from the City of London; A.D. Mills; Dictionary of English Place-Names; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names
Cranford,'Crane/heron ford'.,"cran Old English - A crane; probably also a heron or similar bird.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).",A.D. Mills; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ealing,'*Gilla's people'.,-ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name,Gover et al; Place-names of Middlesex apart from the City of London; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mills; Dictionary of London Place-Names; A.D. Mills; Dictionary of English Place-Names
East Bedfont,'Drinking-vessel spring'.,"byden Old English - A vessel, a tub, a butt; used topographically of a hollow.; funta Old English - A spring.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al; Place-names of Middlesex apart from the City of London; Mills; Dictionary of London Place-Names
Edgware,'Ecgi's weir/fishing enclosure'.,"Personal name (Old English) Old English - Personal name; wer Old English - A weir, a river-dam; a fishing-enlosure in a river.",Gover et al; Place-names of Middlesex apart from the City of London; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Edmonton,"'Eadhelm's farm/settlement'. The hundred is called after Edmonton, although the location of the meeting-place is unknown.",hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Gover et al; Place-names of Middlesex apart from the City of London; Mills; Dictionary of London Place-Names; E. Ekwall; Dictionary of English Place-Names; Anderson (unspecified work); A.D. Mills; Dictionary of English Place-Names
Elthorne Hundred,'Ella's thorn-bush'. There is some disagreement over whether or not the name might survive in either 'Elthorne Park' or 'Elthorne Heights'.,hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name; þyrne Old English - A thorn-bush.,Gover et al; Place-names of Middlesex apart from the City of London; Anderson (unspecified work)
