PlaceName,Etymology,Derivation,ReferenceTitle
Abington,'Farm/settlement connected with Abba'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name","E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); A.D. Mills; Dictionary of English Place-Names"
Abthorpe,'Abba's outlying farm/settlement'.,"Personal name (Old English) Old English - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names"
Adstone,'*Aettin's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); A.D. Mills; Dictionary of English Place-Names"
Alboldstow Hundred,"'Eadbold's place'. Composed of the NE part of King's Sutton Hundred during the 11th century, it was not recorded independently after the 13th century, but perhaps lingering in memory in references to King's Sutton as a double hundred. According to Bridges",hundred Old English - One hundred; an administrative division of a county.; Personal name (Old English) Old English - Personal name; stōw Old English - A place; a place of assembly; a holy place.,"Anderson (unspecified work); Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933)"
Alderton,'Farm/settlement connected with Ealdhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name","A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names"
Aldwinkle,'Ealda's nook'.,"Personal name (Old English) Old English - Personal name; wincel Old English - A nook, a corner.","Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Althorp,'*Olla's outlying farm/settlement'.,"Personal name (Old English) Old English - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","A.D. Mills; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Alwardsley Hundred,,"hundred Old English - One hundred; an administrative division of a county.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name","Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); Anderson (unspecified work)"
Apethorpe,'Api's outlying farm/settlement'.,"Personal name (Old Norse) Old Norse - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933)"
Appletree,'Apple-tree'.,"æppel-trēow Old English - An apple-tree, a fruit-tree.","E. Ekwall; Dictionary of English Place-Names; Gover; Mawer and Stenton, The Place-Names of Northamptonshire (Cambridge, 1933); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
