PlaceName,Etymology,Derivation,ReferenceTitle
Adbolton,'Ealdbeald's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alverton,'Farm/settlement connected with Aelfhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Annesley,'*An's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; Watts; Cambridge Dictionary of English Place-names
Arnold,'Eagles' nook of land'.,"earn Old English - An eagle.; halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Askham,'Ash-tree homestead/village'.,"æsc Old English; hām Old English - A village, a village community, a manor, an estate, a homestead.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aslockton,'Aslakr's farm/settlement'.,Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; Watts; Cambridge Dictionary of English Place-names
Averham,'At the floods'.,ēgor Old English,Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Awsworth,'Eald's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Babworth,'Babba's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Balderton,'Baldhere's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Barnby in the Willows,"Probably, 'children's farm', i.e. one held jointly by the heirs. Alternatively, the first element may be the Old Danish masculine personal name Biarni.","barn Old Norse - Child, offspring.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Barnby Moor,"Probably, 'children's farm', i.e. one held jointly by the heirs. Alternatively, the first element may be the Old Danish masculine personal name 'Biarni'. 'Moor' is a late addition to distinguish from Barnby upon Don, WRY.","barn Old Norse - Child, offspring.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Barton in Fabis,"'Barley farm/settlement', also known for the cultivation of 'beans'.","bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.; faba Latin - A bean.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bathley,"'Bathing-place wood/clearing', referring to springs used as bathing places.","bæð Old English - A bath, a bathing-place.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",The Vocabulary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Gover et al.; The Place-Names of Nottinghamshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Beckingham,"'Homestead/village of Becca's/*Beohha's people' or perhaps, 'hemmed-in land of Becca's/*Beohha's people'.","-ingas Old English - The people of . . . ; the people called after . . .; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Beeston,'Bent-grass farm/settlement'.,"bēos Old English - Bent grass, rough grass.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Besthorpe,"Probably, 'bent-grass outlying farm/settlement'. Alternatively, perhaps, 'Besi's outlying farm/settlement'.","bēos Old English - Bent grass, rough grass.; Personal name (Old Norse) Old Norse - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire
Besthorpe Hall,"Probably, 'bent-grass outlying farm/settlement'. Alternatively, perhaps, 'Besi's farm/settlement'.","bēos Old English - Bent grass, rough grass.; Hall D; hall Old English - A slope, a hill; a boulder.; Personal name (Old Norse) Old Norse - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire
Bestwood Park,'Bent-grass wood'. 'Park' is a later addition.,"bēos Old English - Bent grass, rough grass.; park Middle English - An enclosed tract of land for beasts of the chase.; wudu Old English - A wood; or wood, timber.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Bevercotes,"Literally, 'beaver cottages', probably referring to dams or lodges built by beavers.","beofor Old English - A beaver.; cot Old English - A cottage, a hut, a shelter, a den.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Bilborough,'Bila's fortification'.,burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; Watts; Cambridge Dictionary of English Place-names
Bilsthorpe,'Bildr's outlying farm/settlement'.,"Personal name (Old Norse) Old Norse - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bingham,"Probably, 'homestead/village of Bynna's people'. The wapentake court was held at 'Moot House Pit', apparently marked on the OS 1"" map as 'Moothill Farm'.","-ingahām Old English - The village of the people of . . . ; the village of the people called after . . .; Personal name (Old English) Old English - Personal name; vápnatak Old Norse - A wapentake, a sub-division of a county.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Anderson (unspecified work)
Bleasby,"Uncertain. 'Blesi's farm/settlement' or perhaps, 'bare-ground farm/settlement'.","blesi Old Norse - A white spot (on a horse's forehead), a blaze; a bare spot on a hillside.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire
Blidworth,'Blitha's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names
Blyth,"From the old name of the River Ryton, which was formerly called Blythe.","blīðe Old English - Cheerful, pleasant, gentle.; River-name Unknown - River-name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire
Bole,"'At the tree-trunks'. Alternatively, perhaps 'smooth, rounded hill'.","bol Old English - A smooth, rounded hill.; bole Middle English - A tree-trunk.",Watts; Cambridge Dictionary of English Place-names; The Vocabulary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bothamsall,'River-valley shelf'.,"botm Old English - A bottom, a broad river-valley.; scelf Old English - A shelf, a shelving terrain; a pinnacle, battlement.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Boughton,"Either, 'he-goat farm/settlement' or 'buck farm/settlement'. Alternatively, perhaps 'Bucca's farm/settlement'.","bucc Old English - A buck, a male deer.; bucca Old English - A he-goat.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bradmore,'Broad pool'.,"brād Old English - Broad, spacious, wide, large.; mere Old English - A pond, a pool, a lake.",E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; Gover et al.; The Place-Names of Nottinghamshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Bramcote,'Broom cottage'.,"brōm Old English - Broom; a thorny bush or shrub.; cot Old English - A cottage, a hut, a shelter, a den.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Brinsley,'Brun's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Broadholme,'Broddi's island'.,"holmr Old Norse - An island, an inland promontory, raised ground in marsh, a river-meadow.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire
Broxtowe Wapentake,,"Personal name (Old English) Old English - Personal name; stōw Old English - A place; a place of assembly; a holy place.; vápnatak Old Norse - A wapentake, a sub-division of a county.",Anderson (unspecified work); Gover et al.; The Place-Names of Nottinghamshire
Budby,'Botti's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; The Place-Names of Nottinghamshire
Bulcote,'Bull cottage(s)'.,"bula Old English - A bull.; cot Old English - A cottage, a hut, a shelter, a den.",Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bulwell,'Bull spring/stream' or '*Bula's spring/stream'.,bula Old English - A bull.; Personal name (Old English) Old English - Personal name; wella Old English,Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names; E. Ekwall; Dictionary of English Place-Names
Bunny,'Reedy island'.,"bune Old English - A reed.; ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Cameron; Dictionary of Lincolnshire Place-names
Burton Joyce,"'Fortification farm/settlement. The affix 'Joyce' derives from Geoffrey de Jorz, who held the manor in 1235.",burh Old English - A fortified place.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Calverton,'Calves' farm/settlement'.,calf Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Car Colston,"'Kolr's farm/settlement. The original affix, ON kirkja, 'church', was later replaced by ME ker, ModE car, 'fenland'.",kirkja Old Norse - A church.; Personal name (Old Norse) Old Norse - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Carburton,'Britons' settlement'.,Britton Celtic - Briton; cair Celtic,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; Coates and Breeze, Celtic Voices English Places; E. Ekwall; Dictionary of English Place-Names"
Carlton,'Free peasants' farm/settlement'.,"ceorl Old English - A freeman of the lower class, a peasant.; karl Old Norse - A freeman of the lower class, a peasant.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; The Place-Names of Nottinghamshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
