PlaceName,Etymology,Derivation,ReferenceTitle
Adwell,'Ead(d)a's spring/stream'.,Personal name (Old English) Old English - Personal name; wella Old English,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names
Alkerton,'Farm/settlement connected with Ealhhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Gelling; Place-names of Oxfordshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alvescot,'Aelfheah's cottage'.,"cot Old English - A cottage, a hut, a shelter, a den.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gelling; Place-names of Oxfordshire; Watts; Cambridge Dictionary of English Place-names
Ambrosden,"Uncertain. '*Ambre's hill' or perhaps, 'bunting hill'.",amore Old English - A bird; probably the bunting or the yellow hammer.; dūn Old English - A hill.; Personal name (Old English) Old English - Personal name,Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ardley,'Eardwulf's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Arncott,'Cottages connected with *Earna'.,"-ing- Old English - Connective particle, linking a first element to a final element.; cot Old English - A cottage, a hut, a shelter, a den.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Oxfordshire; Watts; Cambridge Dictionary of English Place-names
Ascot under Wychwood,'East cottages' under Wychwood.,"cot Old English - A cottage, a hut, a shelter, a den.; ēast Old English - Eastern, east.; Place-name Unknown - Place-name",Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ascott,'East cottage(s)'.,"cot Old English - A cottage, a hut, a shelter, a den.; ēast Old English - Eastern, east.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names
Asthall,'East nook(s) of land'.,"ēast Old English - Eastern, east.; halh Old English - A nook of land; a small valley; dry ground in marsh; a piece of land projecting from, or detached from, the main area of its administrative unit.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gelling; Place-names of Oxfordshire
Aston and Cote,'East farm/settlement'. 'Cottage(s)'.,"cot Old English - A cottage, a hut, a shelter, a den.; ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aston Rowant,'East farm/settlement'. Rowald ('Rowant') de Eston held land here in the mid-13th century.,"ēast Old English - Eastern, east.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gelling; Place-names of Oxfordshire; A.D. Mills; Dictionary of English Place-Names
