PlaceName,Etymology,Derivation,ReferenceTitle
Abdon,"'Abba's farm/settlement'. OE dun, 'hill' was later substituted for the second element.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Place-names of Sheffield (unspecified)
Acton Burnell,'Oak-tree farm/settlement'. It was held by Gerin Burnell in 1183.,āc Old English - An oak-tree.; Family name Unknown - Family name.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names
Acton Round,'Oak-tree farm/settlement' . 'Round' perhaps as an adjective or possibly because it was held by the earls of Arundel.,āc Old English - An oak-tree.; Place-name Unknown - Place-name; round Middle English - Round.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Place-names of Sheffield (unspecified)
Acton Scott,'Oak-tree farm/settlement'. It was held by Reginald Scot in 1255.,āc Old English - An oak-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Adderley,"'Ealdthryth's wood/clearing', a feminine personal name.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names
Alberbury,"'Aluburg's fortification', a feminine personal name.",burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Place-names of Sheffield (unspecified); A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Albrighton,'Eadbeorht's farm/settlement'. This name should have developed into 'Adbrighton' but was influenced by Albrighton near Shifnal.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Albrighton,'Aethelbeorht's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Place-names of Sheffield (unspecified)
Alveley,"'Aelfgyth's wood/clearing', a feminine personal name.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alveley,"'Aelfgyth's wood/clearing', a feminine personal name.","lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names
Ashford Bowdler,'Ash-tree ford'. Henri de Boulers was a tenant 1211-2.,æsc Old English; Family name Unknown - Family name.; ford Old English - A ford.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names
Ashford Carbonel,'Ash-tree ford'. It was held by John Carbonel in 1221.,æsc Old English; Family name Unknown - Family name.; ford Old English - A ford.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Place-names of Sheffield (unspecified)
Astley,"'East wood/clearing', in relation to Albrighton.","ēast Old English - Eastern, east.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; Place-names of Sheffield (unspecified); E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
