PlaceName,Etymology,Derivation,ReferenceTitle
Acton,'Ac(c)a's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Akenham,'Ac(c)a's homestead/village'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aldeburgh,'Old/deserted stronghold'.,ald Old English; burh Old English - A fortified place.,E. Ekwall; Dictionary of English Place-Names; The Vocabulary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alderton,'Alder-tree farm/settlement'.,alor Old English - An alder-tree.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; The Vocabulary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aldham,'Old homestead/village' or 'Alda's homestead/village'.,"ald Old English; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",The Vocabulary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Aldringham with Thorpe,"'Homestead/village of Aldhere's people' or 'at the alder-place'. Thorpe is 'outlying farm/settlement'; the modern Thorpeness has ness, 'headland' added.","-ing Old English - Place-name forming suffix.; -ingas Old English - The people of . . . ; the people called after . . .; alor Old English - An alder-tree.; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alnesbourn Priory,',burna Old English - A stream.; Personal name (Old English) Old English - Personal name; priorie Middle English - A priory.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Alpheton,'Farm/settlement of a woman called,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ampton,'*Amma's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ashbocking,"'Ash-tree', with the 'de Bocking' family name (probably from Bocking, Essex) added later.",æsc Old English,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Ashby,'Ash farm/settlement' or 'Aski's farm/settlement'.,"æsc Old English; askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; The Vocabulary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ashfield,'Ash-tree open land'.,"æsc Old English; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
