PlaceName,Etymology,Derivation,ReferenceTitle
Abinger,"'Enclosure of Abba's people' or perhaps, 'enclosure at Abba's place'.",-ing Old English - Place-name forming suffix.; -ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Addington,'Farm/settlement connected with Eadda/Aeddi'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Albury,'At the old fortification'. The reference may be to the remains of a Romano-British temple on Farley Heath.,ald Old English; burh Old English - A fortified place.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Alfold,'Old fold'.,"ald Old English; fald Old English - A fold, a small enclosure for animals; a small herding settlement, a herdsmen's hamlet.",Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Ash with Normandy,"'At the ash-tree'. Called after an inn, 'The Duke of Normandy' (1656). The place may have had an earlier name, now lost; in 1664 it was described as a tithing of Ash.",æsc Old English; Place-name Unknown - Place-name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey
Ashtead,'Ash-tree place'.,"æsc Old English; stede Old English - A place, a site, a locality; a religious house or foundation; a place of communal activity; a farm, a dairy-farm, an estate.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Banstead,'Bean place'.,"bēan Old English - A bean.; stede Old English - A place, a site, a locality; a religious house or foundation; a place of communal activity; a farm, a dairy-farm, an estate.",Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Barnes,"Originally, 'barn'. The plural form, 'at the barns' is later in date.","bere-ærn Old English - A barn, a storehouse for barley and other grain.",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Beddington,'Farm/settlement connected with Beadda'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names
Betchworth,'*Becci's enclosure'.,Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bisley,"'Bushy wood/clearing' or perhaps, 'Byssa's wood/clearing' .","bysce Old English - A copse of bushes.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey
Blackheath Hundred,"'Black heath open land', with loss of the final element. The name survives as 'Blackheath' in Wonersh parish. The sheriff's tourn was held at Perry Bridge on the extreme edge of the hundred, but originally the hundred meeting-place must have been on the h","blæc Old English - Black, dark-coloured, dark.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; hǣð Old English - Heather; a tract of uncultivated land.; hundred Old English - One hundred; an administrative division of a county.",Gover et al.; Place-names of Surrey; Anderson (unspecified work)
Bletchingley,'Wood/clearing of Blaecca's people'.,"-ingas Old English - The people of . . . ; the people called after . . .; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names
Bramley,'Broom wood/clearing'.,"brōm Old English - Broom; a thorny bush or shrub.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey
Buckland,"'Charter land', ie., 'estate with certain rights and privileges created by an Anglo-Saxon royal diploma'.",bōc-land Old English - Land granted by charter.,Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Burstow,'Fortified place'.,burh Old English - A fortified place.; stōw Old English - A place; a place of assembly; a holy place.,A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Byfleet,"'By the stream', referring to the River Wey.","bī Old English - By, near; (place) near or in.; flēot Old English - An estuary, an inlet of the sea, a small stream.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names
Capel,'Chapel'.,capel Old French,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey
Carshalton,"Originally, 'water-source farm/settlement'. 'Cress' was later added after a 13th century grant of messuage with a water-cress bed (cum kersenaria). There are cress beds near the Wandle to this day.","ǣwell Old English; cærse Old English - Cress, water-cress.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Surrey; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Caterham,"Uncertain. Perhaps, 'homestead/village at the hill called *Cadeir (= the chair)'. Alternatively, 'Catta's/Catte's homestead/village' or 'wild-cat homestead/village'.","cadeir C; catte Old English - A she-cat, probably both wild and domestic.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Surrey; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
