PlaceName,Etymology,Derivation,ReferenceTitle
Albourne,'Alder-tree stream'.,alor Old English - An alder-tree.; burna Old English - A stream.,Watts; Cambridge Dictionary of English Place-names; Mawer et al.; Place-names of Sussex; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Alciston,'Aelfsige's/Ealhsige's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer et al.; Place-names of Sussex; A.D. Mills; Dictionary of English Place-Names
Aldingbourne,"'Stream connected with Ealda' or perhaps, 'stream called Ealding (= the old stream)'.","-ing Old English - Place-name forming suffix.; -ing- Old English - Connective particle, linking a first element to a final element.; ald Old English; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Mawer et al.; Place-names of Sussex; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aldrington,'Farm/settlement connected with Ealdhere' or 'farm/settlement of Ealdhere's people'.,"-ing- Old English - Connective particle, linking a first element to a final element.; -ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",Mawer et al.; Place-names of Sussex; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Alfriston,'Aelfric's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Mawer et al.; Place-names of Sussex
Amberley,'Bunting wood/clearing'.,"amore Old English - A bird; probably the bunting or the yellow hammer.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer et al.; Place-names of Sussex
Angmering,'*Angenmaer's people'.,-ingas Old English - The people of . . . ; the people called after . . .; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer et al.; Place-names of Sussex; E. Ekwall; Dictionary of English Place-Names
Appledram,'Apple-tree homestead/village' or 'hemmed-in land where apple-trees grow'.,"apuldor Old English - An apple-tree.; hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer et al.; Place-names of Sussex; A.D. Mills; Dictionary of English Place-Names
Ardingly,'Wood/clearing of *Earda's people'.,"-ingas Old English - The people of . . . ; the people called after . . .; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Mawer et al.; Place-names of Sussex; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Arlington,'Farm/settlement connected with Eorl(a)'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Mawer et al.; Place-names of Sussex; A.D. Mills; Dictionary of English Place-Names
