PlaceName,Etymology,Derivation,ReferenceTitle
Admington,'Farm/settlement connected with Athelhelm'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Smith; Place-names of Gloucestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Alcester,'River Alne Roman site'.,ceaster Old English - A city; an old fortification; a Roman site.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Warwickshire; E. Ekwall; Dictionary of English Place-Names
Alderminster,'Chief's farm/settlement'.,aldormann Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Allesley,'Aelle's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Warwickshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Alveston,'Eanwulf's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Warwickshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Amington and Stonydelph,'Farm/settlement connected with Earma'.,"-ingtūn Old English - A settlement called after, or connected with . . .; delf Old English - A digging, a trench, a pit, a quarry.; Personal name (Old English) Old English - Personal name; stān Old English - A stone, stone, rock.",A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Warwickshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ansley,'Hermitage wood/clearing'.,"ān-setl Old English - A hermitage.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Warwickshire
Ansty,"Probably, 'steep, narrow footpath', but the exact form and meaning of the term remains unclear.","ān-stiga Old English - A short ascending road, usually forking at either end.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Warwickshire; A.D. Mills; Dictionary of English Place-Names
Arley,'Eagle wood/clearing'.,"earn Old English - An eagle.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Warwickshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Arrow,Named from the River Arrow.,River-name Unknown - River-name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Warwickshire
