PlaceName,Etymology,Derivation,ReferenceTitle
Ambleside,'Sandy river-bank shieling'.,"á Old Norse - A river.; melr Old Norse - A sand-bank, a sand-hill.; sǽtr Old Norse - A mountain pasture, a shieling.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Westmorland
Appleby St. Michael and St. Lawrence,'Apple farm/settlement'. The churches are dedicated to St. Michael and St. Lawrence.,"æppel Old English; bȳ Old Norse - A farmstead, a village.; Saint's Name Unknown - Saint's name.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Westmorland; E. Ekwall; Dictionary of English Place-Names
Arnside,'Earnwulf's headland' or 'Arnulf's headland'.,hēafod Old English - A head; an end or source; headland in a field-system; a projecting piece of ground; a hill (often small).; Personal name (Old English) Old English - Personal name; Personal name (Old Norse) Old Norse - Personal name,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Westmorland; E. Ekwall; Dictionary of English Place-Names
Asby,'Ash-tree farm/settlement'.,"askr Old Norse - An ash-tree.; bȳ Old Norse - A farmstead, a village.",Smith; Place-names of Westmorland; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Askham,'Ash-trees'.,askr Old Norse - An ash-tree.,Watts; Cambridge Dictionary of English Place-names; Smith; Place-names of Westmorland; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bampton,'Beam farm/settlement'.,bēam Old English - A tree; the cross on which Christ was crucified; a beam of timber.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Smith; Place-names of Westmorland; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Barbon,"Probably, 'beaver stream' but perhaps, 'Bera's stream'. 'Bear stream' might also be possible. Bears were hunted to extinction in England by the c. 10th century, beavers by the 16th century.","bera Old English - A bear.; bjórr Old Norse - A beaver.; brunnr Old Norse - A well, a spring.; burna Old English - A stream.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Westmorland; E. Ekwall; Dictionary of English Place-Names
Barton,'Barley farm'.,"bere-tūn Old English - A barley enclosure, a barley farm; later a demesne farm, an outlying grange.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Westmorland
Beetham,'Embankments'.,"bjóðr Old Norse - A table; a plateau, flat ground.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Westmorland; Watts; Cambridge Dictionary of English Place-names
Bolton,'Collection of buildings'.,"bōðl-tūn Old English - An enclosure with buildings, a collection of buildings.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-names of Westmorland
