PlaceName,Etymology,Derivation,ReferenceTitle
Aldbourne,"'Stream connected with Ealda' or perhaps, 'stream called Ealding (= the old one)'.","-ing Old English - Place-name forming suffix.; -ing- Old English - Connective particle, linking a first element to a final element.; ald Old English; burna Old English - A stream.; Personal name (Old English) Old English - Personal name","Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Alderbury,"'*Aethelwaru's fortification', a feminine personal name.",burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,"Gover, Mawer and Stenton, The Place-Names of Wiltshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Alderton,'Farm/settlement connected with Ealdhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name","A.D. Mills; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
All Cannings,"'Cana's people'. 'Old', ie., 'all' is a later addition to distinguish from Bishop's Canning.",-ingas Old English - The people of . . . ; the people called after . . .; ald Old English; Personal name (Old English) Old English - Personal name,"E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Allington,'Princes' farm/settlement'.,"æðeling Old English - A prince, a nobleman.; tūn Old English - An enclosure; a farmstead; a village; an estate.","Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Allington,'Farms/settlement connected with Ealda'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name","Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Alton Barnes and Priors,"'River-source farm/settlement'. Barnes may refer to a member of the Berners family who held this part of Alton. Alton Priors belonged to the priory of St. Swithin's, Winchester.",ǣwell Old English; Family name Unknown - Family name.; prior Middle English - A prior of a religious house.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire"
Alvediston,'Aelfgeat's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"E. Ekwall; Dictionary of English Place-Names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Amesbury,"Uncertain. '*Ambre's fortification' or perhaps, 'bunting/yellow-hammer fortification'.",amore Old English - A bird; probably the bunting or the yellow hammer.; burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names"
Ansty,"Probably, 'steep, narrow footpath', but the exact form and meaning of the term remains unclear.","ān-stiga Old English - A short ascending road, usually forking at either end.","Watts; Cambridge Dictionary of English Place-names; Gover, Mawer and Stenton, The Place-Names of Wiltshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
