PlaceName,Etymology,Derivation,ReferenceTitle
Abberley,'Eadbald's wood/clearing'.,"lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Abberton,'Farm/settlement connected with Eadbeorht'.,"-ing- Old English - Connective particle, linking a first element to a final element.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Abbots Lench,'Abba's extensive hill-side'.,hlenc Old English - An extensive hill-slope.; Personal name (Uncertain) Unknown - Personal name,Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Abbots Morton,'Moor farm/settlement'. It was held by the Abbots of Evesham.,"abbas Latin - An abbot.; mōr Old English - A marsh, barren upland.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names
Aldington,'Farm/settlement connected with Ealda'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire
Alfrick,'Ealhraed's/Alfred's specialised-farm'.,"Personal name (Old English) Old English - Personal name; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire
Alvechurch,'Aelfgyth's church'.,cirice Old English - A church.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; A.D. Mills; Dictionary of English Place-Names
Areley Kings,'Eagle wood/clearing'. It was part of a royal manor.,"earn Old English - An eagle.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",E. Ekwall; Dictionary of English Place-Names; Gover et al.; Place-names of Worcestershire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ashton under Hill,'Ash-tree farm/settlement'. It is below Bredon Hill.,æsc Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-names of Gloucestershire
Astley,'East wood/clearing'.,"ēast Old English - Eastern, east.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.; Place-names of Worcestershire; E. Ekwall; Dictionary of English Place-Names
