PlaceName,Etymology,Derivation,ReferenceTitle
Acklam,'At the oak woods/clearings'.,"āc Old English - An oak-tree.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-Names of the North Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names
Agglethorpe with Coverham,'Homestead/village on the River Cover'. 'Acwulf's outlying farm/settlement'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name; River-name Unknown - River-name; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",Smith; Place-Names of the North Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Aikber,'Oak hill'.,"berg Old English; eiki Old Norse - Oaken, oak, oakwood.",E. Ekwall; Dictionary of English Place-Names; Smith; Place-Names of the North Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ainderby Mires with Holtby,'Eindrithi's farm/settlement'. 'Mires' to distinguish from Ainderby Quernhow and because of the swampy nature of the ground. 'Holti's farm/settlement',"bȳ Old Norse - A farmstead, a village.; mýrr Old Norse - A swamp.; Personal name (Old Norse) Old Norse - Personal name",Smith; Place-Names of the North Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ainderby Quernhow,"'Eindrithi's farm/settlement'. Quernhow, 'quern-shaped burial mound', forms the boundary between Ainderby and Middleton Quernhow.","bȳ Old Norse - A farmstead, a village.; haugr Old Norse - A natural height, a hill, a heap, an artificial mound, a burial mound.; kvern Old Norse - A hand-mill; a mill; a mill-stone.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-Names of the North Riding of Yorkshire
Ainderby Steeple,"'Eindrithi's farm/settlement' with a steeple (ie., a church).","bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name; stēpel Old English",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Smith; Place-Names of the North Riding of Yorkshire
Airyholme with Howthorpe and Baxtonhowe,"'At the shielings/hill-pastures'. Probably, 'hollow outlying farm/settlement'. Obscure.","erg Old Norse - A shieling, a hill-pasture; a summer-pasture camp, a dairy or grazing out-station.; hol Old English - A hole, a hollow.; Obscure element Unknown - Obscure element; þorp Old Norse - A secondary settlement, a dependent outlying farmstead or hamlet.",Smith; Place-Names of the North Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aiskew,'Oak wood'.,eik Old Norse - An oak-tree.; skógr Old Norse - A wood.,E. Ekwall; Dictionary of English Place-Names; Smith; Place-Names of the North Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Aislaby,'Aslakr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Smith; Place-Names of the North Riding of Yorkshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Aislaby,'Asulfr's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Smith; Place-Names of the North Riding of Yorkshire; A.D. Mills; Dictionary of English Place-Names
