PlaceName,Etymology,Derivation,ReferenceTitle
Advent,'St. Advent /Adwen'. Adwen may be identical to the Breton Aouen.,Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Altarnun,'St. Nonn's altar'. She is thought to have been the mother of the Welsh St. David. cf. Davidstow.,alter C; Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Antony,"'*Anna's/ *Anta's farm', probably influenced by the later English name, Anthony (from Latin Antoninus).",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cox, The Place-Names of Leicestershire and Rutland (unpublished PhD); E. Ekwall; Dictionary of English Place-Names"
Blisland,'Land' with an obscure first element.,land Old English - Land (as part of earth's surface); an estate; possibly also new arable area.  In minor and field names: strip in a field-system.; Obscure element Unknown - Obscure element,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names"
Boconnoc,'Conec's/Kenec's dwelling'.,bod C; Personal name (Uncertain) Unknown - Personal name,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names"
Bodmin,"Possibly, 'sanctuary dwelling'. The exact meaning of the second element is uncertain.",bod C; menehi C,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Botusfleming,"'Dwelling' with an obscure second element, *flumyet, which was later replaced by the family name, Fleming.",bod C; Family name Unknown - Family name.; Obscure element Unknown - Obscure element,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names"
Boyton,"Uncertain. Possibly, 'Boia's farm/settlement'. Alternatively, 'boy's farm/settlement', although the exact sense of this element in place-names is unclear.","boia Old English - A boy, a servant.; Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Breage,"'St. Breage'. or sometimes, 'church of St. Breage'. She was thought to have been born in Ireland and to have journeyed to Cornwall with other saints including Crowan, Sithney and Germoe.",eglēs C; Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Broadoak,Obscure.,Obscure element Unknown - Obscure element,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Budock,"'St. Budock'. His mother, Azenor, a Breton princess, apparently gave birth to him after being put to sea in a barrel as a result of being wrongly accused of adultery. Budock returned to Brittany by floating over in stone coffin to become bishop of Dol.",Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Callington,"Probably, 'at the bare-hill farm/settlement' rather than simply 'at the bare farm/settlement'.","calu Old English - Bald, bare, lacking vegetation.; tūn Old English - An enclosure; a farmstead; a village; an estate.","E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; The Vocabulary of English Place-Names"
Calstock,"'Outlying farm/settlement' with an obscure first element, although 'Callington's outlying farm/settlement' has been suggested as a tentative possibility.","Obscure element Unknown - Obscure element; Place-name Unknown - Place-name; stoc Old English - A place, a secondary settlement.","Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Camborne,'Crooked hill'.,bronn C; cam C,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names"
Cardinham,"'Fortification called Dynan'. The name is redundant, as Dynan also means 'fortification'.",dinan C; ker C,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Colan,"'St. Colan', perhaps identical to a Welsh St. Collen whose name is preserved in Llangollen and perhaps in two places in Brittany called Langolen, although the single -l- form in the Cornish and Breton examples contrasts with the -ll- forms of the Welsh ex",Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Constantine,"'St. Constantine', occasional forms include Co lann, 'church'. This Constantine may be the same as the 6th century king of Devon and Cornwall, who was described in unflattering terms by St. Gildas in his epistle, 'The Ruin of Britain' (c. 540AD). Accordin",Saint's Name Unknown - Saint's name.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Cornelly,'St. Cornelius'.,Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Crantock,"'St. Carantoc'. Believed to have been from a royal family in Cardiganshire, he helped King Arthur to tame a dragon in Somerset. A house name in the village, Langura from Co lann and Corek, preserves the original name of the churchtown, 'Corek's church', p",lann C; Personal name (Uncertain) Unknown - Personal name; Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Creed,"'St. Cride'. She is mentioned in the 10th century list of Cornish parochial saints, but nothing else is known of her.",Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Crowan,"'St. Crowan'. She was thought to have been born in Ireland and to have journeyed to Cornwall with other saints including Breage, Sithney and Germoe. She is also venerated in Brittany.",Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Cubert,"'St. Cuthbert'. Called after the 7th century bishop of Lindisfarne, Cuthbert, who's relics lay at Durham cathedral. The original name of the churchtown may be preserved in a nearby farm called Lanlovey, Co lann, 'church' and an obscure final element.",lann C; Obscure element Unknown - Obscure element; Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Cuby,Obscure.,Obscure element Unknown - Obscure element,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names"
Cury,"'St. Cury', a pet form of the name Corentin. Some forms show Co eglos, 'church'. He was a Breton saint, a patron of the cathedral at Quimper and possibly the first bishop of Cornouaille.",Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Davidstow,"'St. David's place'. He is the patron saint of Wales but venerated here as well as Brittany. The name used to contain the Cornish version of the saint's name, Dewy; the pronunciation 'Dewstow' is apparently still known in the area. The church at Altarnun",Saint's Name Unknown - Saint's name.; stōw Old English - A place; a place of assembly; a holy place.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Duloe,"'Two Rivers Looe'. The name of the churchtown was Lankyp, 'St. Cuby's church'.",dew C; lann C; River-name Unknown - River-name; Saint's Name Unknown - Saint's name.,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
East and West Looe,'Pool'.,logh C,"E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names"
East Newlyn,"'St. Neulin'. She was believed to have been martyred near here by her father, a king. After the prefix 'St.' was dropped, East was added to disitnguish this place from Newlyn in Paul, which has a different origin and meaning. Also known as Newlyn Downs.",Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Egloshayle,"'Estuary church'. 'Heyl' was probably the former name of the River Camel, as evidenced in the name Haegelmutha (11th century'), 'River Heyl's mouth'.",eglēs C; heyl C,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Egloskerry,"'St. Keri's church'. Along with St. Issey. St.Dilic, St. Endellion, St. Mabon and others she is said to be one of the 24 children of the Welsh King Broccan.",eglēs C; Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Falmouth,"'River Fal's mouth'. Earlier, the place that is now known as Falmouth was comprised of two settlements: Smythwyk (1370) from OE smith and wic, 'smith's workshop/dwelling' and Pennicomequicke (1646), 'get-rich-quick'. It has long been believed that Falmout","mūða Old English - The mouth of a large river, an estuary.; River-name Unknown - River-name","Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Feock,"'St. Fioc'. Nothing is known of this saint, although there is a St. Fiac in Brittany. The form Lanfeoc, Co lann, 'church' and the saint's name survives in a nearby farm, Le Feock.",Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Forrabury,'Outwork'.,fore-burg Old English - An out-work.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names"
Germoe,'St. Germoe'. One of the saints thought to have come over from Ireland along with Breage and Crowan.,Saint's Name Unknown - Saint's name.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Gerrans,"'St. Gerent'. This saint may be identical with the 8th century Cornish king, Gerent. cf. St. Buryan.",Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Golant or St. Sampson,'Fair valley'. The church is dedicated to St. Sampson.,goel C; nant C,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Grade,'St. Grade'. Little is known of this saint.,Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Grampound,'Great bridge'.,"grant Old French - Great, big.; pont Old French - A bridge.","A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Gulval,"'St. Gwelvel', an otherwise unknown saint, thought to be female.",Saint's Name Unknown - Saint's name.,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Gunwalloe,"'St. Wynwalloe' or 'St. Gunwalloe'. Believed to have been born in Brittany to a woman called Alba Trimammis, 'three white breasts'. He was one of triplets; his mother grew the third breat to suckle her third child. He is the patron saint of Landevennec, B",Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Gwennap,"'St. Wenappa'. Little is known of the saint herself, although she appear as 'Wynup', one of the 24 children of King Broccan.",Saint's Name Unknown - Saint's name.,"E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names"
Gwinear,"'St. Winier'. According to the his 'Life', written by Anselm of Brittany in the 14th century, he was the son of a pagan Irish king and travelled to Cornwall where he was martyred with 777 companions by the pagan Cornish king, Theodric.",Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Gwithian,"'St. Gwithian'. Little is known about him, but he is also venerated in Brittany.",Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Helland,'Old church'.,hen C; lann C,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names"
Helston,'Ancient court' with the later addition of 'farm/settlement'.,hen-lys C; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Illogan,'St. Illogan'. Nothing is known of this saint.,Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names"
Jacobstow,'St. James' place'.,Saint's Name Unknown - Saint's name.; stōw Old English - A place; a place of assembly; a holy place.,"Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Kea,"'St. Kea'. The names is transferred from Old Kea when the parish church was relocated in the 19th century. It was believed that Kea sailed to Cornwall from Ireland in a granite trough and founded a religious community. He died at Cleder, Brittany (cf. St.",Saint's Name Unknown - Saint's name.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Kenwyn,'White ridge'. The name was later wrongly interpreted as a saint's name and associated with St. Keyne.,gwynn C; keyn C,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names"
Kilkhampton,'Farm/settlement at/called Kylgh (= the circle)'. The Cornish name may refer to a lost archaeological or landscape feature. The -ham- is not original and resulted from assimilation with other -hampton place-names. The unidentified estate of Kelk c.839 (la,kylgh C; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Ladock,'St. Ladoca'. Nothing is known of this saint.,Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Lamorran,"'St. Moren's church'. Nothing is known of this saint, although there is apparently a St. Moran who was venerated in Brittany.",lann C; Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Landewednack,'St. To-winn-oc's church'. The name is the pet form of the name of the saint found in Gunwalloe. cf. also Towednack.,lann C; Saint's Name Unknown - Saint's name.; to- C,"Padel; Cornish Place-name Elements; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names"
Landrake with St. Erney,"'Clearing'. 'St. Erme', an otherwise unknown saint.",lannergh C; Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Landulph,"'St. Dilic's church'. Along with St. Issey. St. Keri, St. Endellion, St. Mabon and others he is said to be one of the 24 children of the Welsh King Broccan.",lann C; Saint's Name Unknown - Saint's name.,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Laneast,"'Church ' with an obscure second element, possibly a personal name. The church itself is dedicated to two saints, Sidwell and Gulval.",lann C; Personal name (Uncertain) Unknown - Personal name,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Lanhydrock,"'Hydrek's church'. Nothing else is known of this local saint, except that his feast-day was kept at Bodmin in the 15th century.",lann C; Saint's Name Unknown - Saint's name.,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Lanivet,'Church at the sacred pagan place'.,lann C; neved C,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Lanlivery,"Possibly, '*Livri's church'.",lann C; Personal name (Uncertain) Unknown - Personal name,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names"
Lanreath,'Reydhogh's church'.,lann C; Personal name (Uncertain) Unknown - Personal name,"Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names"
Lanteglos,'Church valley'.,eglēs C; nans C,"Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names"
Lanteglos,'Church valley'.,eglēs C; nans C,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Launcells,'Church' with an obscure second element.,lann C; Obscure element Unknown - Obscure element,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Launceston,"'St. Stephen's church' with the later addition of 'farm/settlement'. Prior to the transfer of the name Launceston from present day St. Stephens, the place here was called Dunheved, from OE dun and heafod, 'hill-head'.",lann C; Saint's Name Unknown - Saint's name.; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Lawhitton,"'Gwethen's valley' with 'church' either replacing 'valley' or as the original first element. Alternatively, 'tree valley'. 'Farm/settlement' is a later addition.",gwyth C; lann C; nans C; Personal name (Uncertain) Unknown - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,"Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names"
Lesnewth,'New court'.,lys C; nowydh C,"A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names"
Lewannick,"'Gwenek's church'. The personal name is equivalent to the known Breton saint, Guenoc. The church, however, is dedicated to St. Martin.",lann C; Personal name (Uncertain) Unknown - Personal name,"Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Lezant,"Probably, 'Sant's church' rather than 'holy church'.",lann C; Personal name (Uncertain) Unknown - Personal name; sans C,"Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names"
Linkinhorne,'Kenhoarn's church'. The church is dedicated to St. Mylor.,lann C; Personal name (Uncertain) Unknown - Personal name,"E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names"
Liskeard,"Probably, 'Kerwyd's court'.",lys C; Personal name (Uncertain) Unknown - Personal name,"Watts; Cambridge Dictionary of English Place-names; Padel, Cornish place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names"
Little Petherick,'St. Petrock'.,Saint's Name Unknown - Saint's name.,"A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names"
Lostwithiel,'Tail of the woodland'.,gwthyel C; lost C,"Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names"
Ludgvan,'Place of ashes'.,-an C; lusow C,"E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; Watts; Cambridge Dictionary of English Place-names"
Luxulian,"'Sulyen's chapel'. Occasional forms show replacement of the first element by Co lann, 'church'. It has been suggested that this single occurence of the more common Breton element 'lok,' on the southwest coast of Cornwall, should be considered an outlier o",log C; Personal name (Uncertain) Unknown - Personal name,"A.D. Mills; Dictionary of English Place-Names; Padel, Cornish place-names; E. Ekwall; Dictionary of English Place-Names; Padel; Cornish Place-name Elements; Watts; Cambridge Dictionary of English Place-names"
