PlaceName,Etymology,Derivation,ReferenceTitle
Abney,'Abba's island'.,"ēg Old English - An island.  In ancient settlement-names, most frequently refers to dry ground surrounded by marsh.  Also used of islands in modern sense.  In late OE names: well-watered land.; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; Cameron; Place-names of Derbyshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Alderwasley,'Clearing near a place called *Alderwas (= alluvial land growing with alders)'.,"alor Old English - An alder-tree.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; wæsse Old English",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Place-names of Derbyshire
Aldwark,'The old fortification'.,"ald Old English; weorc Old English - A work, a building structure; a fortification.",Watts; Cambridge Dictionary of English Place-names; Cameron; Place-names of Derbyshire; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Alfreton,'Aelfhere's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Cameron; Place-names of Derbyshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Alkmonton,'Ealhmund's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Cameron; Place-names of Derbyshire
Allestree,'Aethelheard's tree'.,"Personal name (Old English) Old English - Personal name; trēow Old English - A tree; a large piece of wood, a post, a beam.",A.D. Mills; Dictionary of English Place-Names; Cameron; Place-names of Derbyshire; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alvaston and Boulton,'Alwald's farm/settlement'. 'Bola's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Place-names of Derbyshire
Appletree Hundred,"'Apple-tree'. The site of the apple-tree is unknown, but the hundred court was held at Sutton on the Hill in the 14th century and the hundred is called Appletree and Sutton in 1352.","æppel-trēow Old English - An apple-tree, a fruit-tree.; hundred Old English - One hundred; an administrative division of a county.",Cameron; Place-names of Derbyshire; Anderson (unspecified work)
Ash,'Ash-tree'.,æsc Old English,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Cameron; Place-names of Derbyshire
Ashbourne,'Ash-tree stream'.,æsc Old English; burna Old English - A stream.,A.D. Mills; Dictionary of English Place-Names; Cameron; Place-names of Derbyshire; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashford,'Ash-tree ford'.,æsc Old English; ford Old English - A ford.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Cameron; Place-names of Derbyshire
