PlaceName,Etymology,Derivation,ReferenceTitle
Abbots Bickington,'Farm/settlement connected with Bica/Beocca'. It was held by the abbots of Hartland Abbey.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Abbotsham,"'Hemmed-in land', with the later incorporation of 'abbot' referring to its early possession by the manor by the abbot of Tavistock.",abbod Old English - An abbot.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Abbotskerswell,"'Cress spring/stream', with the later incorporation of 'abbot' denoting its possession by the abbot of Horton.","abbas Latin - An abbot.; cærse Old English - Cress, water-cress.; wella Old English",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon
Alphington,'Farm/settlement connected with Aelf'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alverdiscott,'Aelfred's cottage'.,"cot Old English - A cottage, a hut, a shelter, a den.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Alwington,"Probably, 'Aelfwynn's farm/settlement', a feminine personal name.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Arlington,'Farm/settlement connected with Aelffrith/Aelfheard'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Ashburton,"'Ashburn (ash-tree stream) farm/settlement'. The Ashburn, now called the Yeo, is a tributary of the River Dart.",æsc Old English; burna Old English - A stream.; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon
Ashbury,'Ash-tree fortification'.,æsc Old English; burh Old English - A fortified place.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names
Ashcombe,'Ash-tree valley'.,"æsc Old English; cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.",Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ashford,'Ash-tree ford'.,æsc Old English; ford Old English - A ford.,Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ashprington,'Farm/settlement connected with Aescbeorht/ Aescbeorn'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Ashreigney,"'Ash-tree', with the later incorporation of the namce of the de Regny family who held land here in the 13th century.",æsc Old English; Family name Unknown - Family name.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Ashton,'Aeschere's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Ashwater,"'Ash-tree', with the incoporation of the personal name Walter, probably Walter de Doneheved who held the manor in 1270.",æsc Old English; Personal name (Uncertain) Unknown - Personal name,A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Atherington,'Farm/settlement connected with Eadhere/Aethelhere'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aveton Giffard,'River Avon farm/settlement'. It was held by Walter Giffard in 1242.,Family name Unknown - Family name.; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Awliscombe,"'Fork valley', referring to a fork in the river about 2.5 km south of the village.","āwel Old English - A hook, a fork; perhaps in a topographical sense such as the fork of a river.; cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names
Axminster,'River Axe monastery'.,"mynster Old English - A monastery, the church of a monastery or religious body, a church served by secular clergy.; River-name Unknown - River-name",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Axmouth,'River Axe mouth'.,"mūða Old English - The mouth of a large river, an estuary.; River-name Unknown - River-name",Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aylesbeare,'Aegel's grove'.,bearu Old English - A grove.  (Usually refers to a wood of limited extent rather than to forest areas.); Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon
Bampton,"Uncertain. Perhaps, 'farm/settlement at the baths' or 'farm/settlement of the Bath dwellers', referring to nearby Morebath.","bæð Old English - A bath, a bathing-place.; hǣme Old English - The inhabitants of a place.; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Barnstaple,"Probably, 'battle-axe post', signifying the site of a religious or administrative meeting-place.","bearde Old English - Battle-axe.; stapol Old English - A post, a pillar.",A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Beaford,'Gadfly ford'.,bēaw Old English - A gadfly.; ford Old English - A ford.,Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Beaworthy,"'Beaga's enclosure' or perhaps, 'Baega's enclosure', a feminine personal name.",Personal name (Old English) Old English - Personal name; worð Old English - An enclosure.,A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Belstone,'Bell-shaped stone'.,"belle Old English - A bell; probably also a bell-shaped hill.; stān Old English - A stone, stone, rock.",Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bere Ferrers,'Grove' or 'woodland swine pasture'. It was held by the de Ferers family in the 13th century.,"bǣr Old English - Pasture, especially pasture in woodland for swine.; bearu Old English - A grove.  (Usually refers to a wood of limited extent rather than to forest areas.); Family name Unknown - Family name.",Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Berry Pomeroy,'At the fortification'. It was held by the de Pomerei family in 11th century.,burh Old English - A fortified place.; Family name Unknown - Family name.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Berrynarbor,"'At the fortification' with the subsequent incorporation of the Nerebert family name, who held land here in the 12 century. The Domesday spellings show OE heort, 'stag', or an OE personal name, Heort.",burh Old English - A fortified place.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names
Bickington,'Farm/settlement connected with Beocca/Bucca'.,"-ingtūn Old English - A settlement called after, or connected with . . .; Personal name (Old English) Old English - Personal name",Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bickleigh,"Either, 'pointed ridge wood/clearing' or 'Bica's wood/clearing'.","bica Old English - A woodpecker; a bill, a beak; a beak-like projection.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Bickleigh,"Either, 'pointed ridge wood/clearing' or 'Bica's wood/clearing'.","bica Old English - A woodpecker; a bill, a beak; a beak-like projection.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Bicton,'Beocca's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names
Bideford,"Possibly 'ford at the stream called Byd'. Alternatively the first element may be 'vessel, tub' used topographically for one of the side valleys to mean 'deep valley'","byden Old English - A vessel, a tub, a butt; used topographically of a hollow.; ēa Old English - A river.; ford Old English - A ford.; River-name Unknown - River-name",Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Bigbury,'Bica's fortification'.,burh Old English - A fortified place.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon
Bishop's Nympton,'River Nymet farm/settlement'. It was held by the Bishop of Exeter in 1086.,biscop Old English - A bishop.; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Bishop's Tawton,'River Taw farm/settlement'. It was held by the Bishop of Exeter in 1086.,biscop Old English - A bishop.; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Bishopsteignton,'River Teign farm/settlement'. It was held by the Bishop of Exeter in 1086.,biscop Old English - A bishop.; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names
Bittadon,'*Bitta's/*Beota's valley'.,denu Old English - A valley.; Personal name (Old English) Old English - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon
Black Torrington,'River Torridge farm/settlement'. 'Black' referring to the dark colour of the water.,"blæc Old English - Black, dark-coloured, dark.; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.",E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Blackawton,"Uncertain. Either, 'Afa's farm/settlement' or 'River Avon farm/settlement'. If the latter, this may be the old name for the River Gara, a recent unexplained name for the river here.","blæc Old English - Black, dark-coloured, dark.; Personal name (Old English) Old English - Personal name; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names
Bondleigh,"'Bola's wood/clearing' or perhaps, 'Bola's island'.","īeg Old English; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Bovey Tracy,Named after the River Bovey. It was held by the de Tracy family in 13th century.,Family name Unknown - Family name.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Bow,"'The bow', referring to an arched bridge which once crossed the River Yeo here. The earlier name of the place was Nymet, which was probably also the name of the river.","boga Old English - A bow, an arch; an arched bridge; a bow (for shooting); something curved or bent, such as a river bend or curved valley.; la Old French - Definite article, the.",A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon
Bradford,'Broad ford'.,"brād Old English - Broad, spacious, wide, large.; ford Old English - A ford.",A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Bradninch,"'At the broad ash-tree' or perhaps, 'at the broad oak-tree'.","āc Old English - An oak-tree.; æsc Old English; brād Old English - Broad, spacious, wide, large.",Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Bradstone,'At the broad stone'.,"brād Old English - Broad, spacious, wide, large.; stān Old English - A stone, stone, rock.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon
Bradworthy,'Broad enclosure',"brād Old English - Broad, spacious, wide, large.; worðig Old English - An enclosure.; worðign Old English - An enclosure.",Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Brampford Speke,"Apparently 'broom ford'. However, evidence shows that the first element was *Brente, an element of obscure origins and meaning. It was held by Richard de Espec ca. 1170.",Family name Unknown - Family name.; ford Old English - A ford.; Obscure element Unknown - Obscure element,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon
Branscombe,'Branoc's valley'.,"cumb Old English - A coomb, a valley.  Possibly derived from Welsh ""cumm""; but possibly derived from OE ""cumb"" a vessel, cup, a small measure.; Personal name (Uncertain) Unknown - Personal name",E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Bratton Clovelly,"Uncertain. Perhaps, 'farm/settlement with newly broken ground' or 'brushwood farm/settlement'. It was held by the Claville family; the spelling of the affix has been influenced by the place-name Clovelly.","bræc Old English - A brake, brushwood, a thicket.; brǣc Old English - A strip of untilled land.; brēc Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.",Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Bratton Fleming,'Newly broken land farm/settlement'. It was held by Baldwin le Fleming in 1242.,"bræc Old English - A brake, brushwood, a thicket.; brǣc Old English - A strip of untilled land.; brēc Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.",A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Braunton,"Uncertain. Possibly, 'broom farm/settlement'. Alternatively, the specific may either be related to the saint's name, 'Branoc', although there are no genitival forms, or represent a lost river-name, 'Branoc' from PrW bran, 'cow' and the place-name forming",brōm Old English - Broom; a thorny bush or shrub.; Personal name (Uncertain) Unknown - Personal name; River-name Unknown - River-name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names
Brendon,"'Broom hill'. Spellings show influence of OE bremel, 'bramble'.",brōm Old English - Broom; a thorny bush or shrub.; dūn Old English - A hill.,Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Brentor,"Perhaps, 'rocky hill called *Brente (= possibly, the steep one)'.","brant Old English - Steep.; torr Old English - A rock, a rocky outcrop, a rocky peak.",Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bridestowe,St Bride's/Brigid's place'.,Saint's Name Unknown - Saint's name.; stōw Old English - A place; a place of assembly; a holy place.,Gover et al.: Place-names of Devon; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bridford,"Possibly 'bride ford', i.e., a shallow ford easy to cross. Alternatively the first element may mean 'surging stream', 'bird' or 'board, plank'.",bridd Old English - A bird; a young bird.; brȳd Old English - A bride.; brȳde Old English - A gushing stream.; ford Old English - A ford.,A.D. Mills; Dictionary of English Place-Names; Gover et al.: Place-names of Devon; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Bridgerule,'Ruald's bridge'. Roald Adobed was the tenant in 1086.,brycg Old English - A bridge; a causeway.; Personal name (Uncertain) Unknown - Personal name,Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Brixham,'Brioc's homestead/village' or 'hemmed-in land'.,"hām Old English - A village, a village community, a manor, an estate, a homestead.; hamm Old English - Land hemmed in by water or marsh (perhaps also by high ground); a river-meadow; cultivated plot on the edge of woodland or moor.; Personal name (Uncertain) Unknown - Personal name",A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Gover et al.: Place-names of Devon; E. Ekwall; Dictionary of English Place-Names
