PlaceName,Etymology,Derivation,ReferenceTitle
Aislaby,'Aslak's farm/settlement'.,"bȳ Old Norse - A farmstead, a village.; Personal name (Old Norse) Old Norse - Personal name",Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Archdeacon Newton,The archdeacon's 'new farm/settlement'.,archedeken Middle English - An archdeacon.; nīwe Old English - New.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Auckland,"'Cliff on the River Clyde'. Different forms of the name have been influenced by ODan klint, 'rocky cliff' and ON auka-land, 'additional land taken into cultivation'.",alt C; biscop Old English - A bishop.; River-name Unknown - River-name,Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Barforth Hall,'Barley ford'.,bere Old English - Barley.; ford Old English - A ford.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Smith; Place-Names of the North Riding of Yorkshire; E. Ekwall; Dictionary of English Place-Names
Barmpton,'Beorma's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Barmston,"Probably, 'Beornmund's farm/settlement'.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Barnard Castle,"'Bernard's castle'. Bernard Baliol I died sometime before 1167. He was the son Guy de Baliol, of Ballieul in Picardy, to whom William Rufus granted forests in Teesdale and Gainford.","castel Middle English - A large defensive building, a stronghold, a castle; a large mansion, built in the style of a medieval caste.; Personal name (Uncertain) Unknown - Personal name",Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Benfieldside,'Bean-field hillside'.,"bēan Old English - A bean.; feld Old English - Open country, unencumbered ground (eg. land without trees as opposed to forest, level ground as opposed to hills, land without buildings); arable land (from late tenth century).; sīde Old English - A side; a long hill-slope.",Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Billingham,'Homestead/village on/near *Billing (= the hill)'.,"billing Old English - A hill, a prominence, a promontory, a ridge.; hām Old English - A village, a village community, a manor, an estate, a homestead.",Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Binchester,"Uncertain. 'Within the Roman site' or 'cattle-stall (Roman) site'. This was the Roman site of Vinovia. Normally, the initial 'v' would have been taken into Anglo-Saxon as 'w'. However, the fort at one time was garrisoned by Vettones, a Celtic tribe from L","binn Old English - A manger, stall.; binnan Old English - Within.; ceaster Old English - A city; an old fortification; a Roman site.",A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; Rivet & Smith; Place-names of Roman Britain; E. Ekwall; Dictionary of English Place-Names
Birtley,'Bright wood/clearing'.,"beorht Old English - Bright, clear.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.",A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names
Bishop Middleham,'Middle homestead/village'. It was held by the Bishop of Durham and served as his chief residence.,"biscop Old English - A bishop.; hām Old English - A village, a village community, a manor, an estate, a homestead.; middel Old English - Middle.",Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names
Bishop Wearmouth,'Mouth of the River Wear'.,"episcopus Latin - A bishop.; mūða Old English - The mouth of a large river, an estuary.; River-name Unknown - River-name",Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names
Bishop Wearmouth Panns,'Mouth of the River Wear'.,"episcopus Latin - A bishop.; mūða Old English - The mouth of a large river, an estuary.; River-name Unknown - River-name",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; Watts; Dictionary of County Durham Place-names.
Bishopton,'Bishop's farm/settlement'. It was granted by Bishop Ranulf Flambard to Roger Conyers in the 12th century.,biscop Old English - A bishop.; tūn Old English - An enclosure; a farmstead; a village; an estate.,Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Blackwell,'Black spring/stream'.,"blæc Old English - Black, dark-coloured, dark.; wella Old English",Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
Bolam,"'At the tree trunks' or perhaps, 'at the rounded hills'.","bol Old English - A smooth, rounded hill.; bola Old English - A tree-trunk, a log, a plank.; bolr Old Norse - A tree-trunk; perhaps also a log, a plank.",E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bolden,"Uncertain. Probably, 'rounded hill' after a prominent nearby hill. 'Tree-trunk hill' and 'smelting hill' have also been suggested.","bol Old English - A smooth, rounded hill.; bola Old English - A tree-trunk, a log, a plank.; bole Middle English - A tree-trunk.; dūn Old English - A hill.",Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Bourn Moor (or Burnmoor),"A recent mining village created from Biddick Fence and probably called after the nearby Moorsburn, also known as Hutton Burn.",Place-name Unknown - Place-name,E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names
Bradbury,"'Board fortification', ie., made of boards.","bred Old English - A plank, a board.; burh Old English - A fortified place.",A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Brafferton,'Broad ford farm/settlement'.,"brād Old English - Broad, spacious, wide, large.; ford Old English - A ford.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Brancepeth,"'Brandr's path'. Perhaps, less likely, is 'Brandon's path'.",pæð Old English; Personal name (Old Norse) Old Norse - Personal name; Place-name Unknown - Place-name,Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Brandon and Byshottles,"'Broom hill'. 'By Shotley', a lost place-name which may mean 'steep wood/clearing' or simply, 'steep slope'.","bī Old English - By, near; (place) near or in.; brōm Old English - Broom; a thorny bush or shrub.; dūn Old English - A hill.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; scēot Old English - A steep slope.; scyttels Old English - A bolt, a bar; a gate which bolts shut.",Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Brierton,'Brier farm/settlement'.,brēr Old English; tūn Old English - An enclosure; a farmstead; a village; an estate.,Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Broom,'Broom'.,brōm Old English - Broom; a thorny bush or shrub.,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.
Burdon,'Cow-shed valley'.,"bȳre Old English - A byre, a cow-shed.; denu Old English - A valley.",Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Butterwick and Oldacres,'Dairy specialised farm'. 'Old cultivated land'.,"æcer Old English - A plot of cultivated land; a measure of land which a yoke of oxen could plough in a day. (Indistinguishable from akr.); ald Old English; butere Old English - Butter.; wīc Old English - A dwelling; a building or collection of buildings for special purposes; a farm, a dairy farm; a trading or industrial settlement; or (in the plural) a hamlet, village.",E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names
Byers Green,"'Cowsheds'. Originally, Assart Byers, cowsheds in the 'clearing'. 'Green' is a later addition.","bȳre Old English - A byre, a cow-shed.; grēne Old English - Green, grass-grown.",Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.
Carlton,'Peasants' farm/settlement'.,"ceorl Old English - A freeman of the lower class, a peasant.; tūn Old English - An enclosure; a farmstead; a village; an estate.",Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names
Cassop cum Quarrington,"'Wild-cats' valley' or perhaps, 'valley of the wild-cat stream'. 'Quern hill', perhaps a place where mill stones were made or obtained.","catt Old English - A cat, probably both wild and domestic.; cweorn Old English - A quern, a hand-mill; possibly also used of any mill.; dūn Old English - A hill.; ēa Old English - A river.; hop Old English - A valley; a remote enclosed space; a piece of enclosed land in a fen; an enclosure in marsh or moor.",A.D. Mills; Dictionary of English Place-Names; Mawer; Place-names of Northumberland and Durham.; E. Ekwall; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.; Watts; Cambridge Dictionary of English Place-names
Castle Eden,Named after the Eden Burn. Robert de Brus held a castle here around 1150.,castel Old English - A defensive building; a village.; River-name Unknown - River-name,Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; Watts; Dictionary of County Durham Place-names.; E. Ekwall; Dictionary of English Place-Names; A.D. Mills; Dictionary of English Place-Names
Chester le Street,"'Roman site on the Roman road'. The earliest Anglo-Saxon forms on record indicate an unexplained Romano-British element, eg., Kuncaester (c. 900) and Conceceastre (c. 1050) before it was reduced to 'Cestre'. Chester Ward is called after Chester le Street","ceaster Old English - A city; an old fortification; a Roman site.; le Old French - The.; strēt Old English; warde Middle English - A castle ward, the circuit of the castle wall; an area of jurisdiction in a town; the territory of a guard or watch.",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Mawer; Place-names of Northumberland and Durham.; Rivet & Smith; Place-names of Roman Britain; A.D. Mills; Dictionary of English Place-Names; Watts; Dictionary of County Durham Place-names.
