PlaceName,Etymology,Derivation,ReferenceTitle
Abberton,"'Eadburh's farm/settlement', a feminine personal name.",Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Essex
Abbess and Beauchamp Roding,"Two of several Essex parishes called Roding, 'Hrotha's people'. One is distinguished as being held by the Abbess of Barking and the other by the family of William de Beauchamp.",-ingas Old English - The people of . . . ; the people called after . . .; abbesse Middle English - An abbess.; Family name Unknown - Family name.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Essex; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Aldham,'Old homestead/village' or 'Ealda's homestead/village'.,"ald Old English; hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Essex; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alphamstone,'Aelfhelm's farm/settlement'.,Personal name (Old English) Old English - Personal name; tūn Old English - An enclosure; a farmstead; a village; an estate.,E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Essex; A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Alresford,'*Aegel's ford'.,ford Old English - A ford.; Personal name (Old English) Old English - Personal name,A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Essex; Watts; Cambridge Dictionary of English Place-names
Althorne,'Burnt thorn-tree'.,ge-ǣled Old English - Burnt.; þorn Old English - A hawthorn-tree.,E. Ekwall; Dictionary of English Place-Names; Reaney; Place-names of Essex; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names
Ardleigh,"Uncertain. 'Dwelling-house wood/clearing' or perhaps, 'Earda's wood/clearing'.","eard Old English - A native place.; lēah Old English - A forest, wood, glade, clearing; (later) a pasture, meadow.; Personal name (Old English) Old English - Personal name",A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Essex; Watts; Cambridge Dictionary of English Place-names; E. Ekwall; Dictionary of English Place-Names
Arkesden,'Arnkel's valley'.,denu Old English - A valley.; Personal name (Old Norse) Old Norse - Personal name,E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; Reaney; Place-names of Essex
Ashdon,'Hill growing with ash-trees'.,æscen Old English - Growing with ash-trees; ashen; made of ash.; dūn Old English - A hill.,Reaney; Place-names of Essex; Watts; Cambridge Dictionary of English Place-names; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names
Asheldham,"'*Aeschild's homestead/village', a feminine personal name.","hām Old English - A village, a village community, a manor, an estate, a homestead.; Personal name (Old English) Old English - Personal name",Reaney; Place-names of Essex; A.D. Mills; Dictionary of English Place-Names; E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names
Ashen,'At the ash-trees'.,æsc Old English,A.D. Mills; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Essex; E. Ekwall; Dictionary of English Place-Names
Ashingdon,"Either, 'Assa's hill' or 'asses' hill'. The specific was early confused with OE aesc, 'ash-tree'.","assa Old English - An ass, a donkey.; dūn Old English - A hill.; Personal name (Old English) Old English - Personal name",E. Ekwall; Dictionary of English Place-Names; Watts; Cambridge Dictionary of English Place-names; Reaney; Place-names of Essex; A.D. Mills; Dictionary of English Place-Names
