name,lat,lon,population
Grimsby,53.5675,-0.0800,88000
Whitby,54.4863,-0.6133,13000
Derby,52.9225,-1.4746,260000
Rugby,52.3705,-1.2646,78000
Corby,52.4900,-0.6900,68000
Selby,53.7833,-1.0667,20000
Kirkby,53.4800,-2.8900,40000
Scunthorpe,53.5809,-0.6502,82000
York,53.9600,-1.0800,210000
Formby,53.5580,-3.0670,25000
Brighton,50.8225,-0.1372,230000
Northampton,52.2405,-0.9027,215000
Southampton,50.9097,-1.4044,250000
Preston,53.7632,-2.7031,140000
Luton,51.8787,-0.4200,213000
Bolton,53.5769,-2.4282,200000
Nottingham,52.9548,-1.1581,330000
Birmingham,52.4862,-1.8904,1150000
Oldham,53.5409,-2.1114,96000
Durham,54.7761,-1.5733,48000
Salisbury,51.0688,-1.7945,45000
Canterbury,51.2802,1.0789,55000
Shrewsbury,52.7069,-2.7527,72000
Peterborough,52.5695,-0.2405,215000
Middlesbrough,54.5742,-1.2350,175000
Scarborough,54.2830,-0.3990,61000
Oxford,51.7520,-1.2577,155000
Bradford,53.7960,-1.7594,350000
Sheffield,53.3811,-1.4701,580000
Huddersfield,53.6450,-1.7800,162000
Wakefield,53.6833,-1.4977,100000
Manchester,53.4808,-2.2426,550000
Chester,53.1900,-2.8900,90000
Winchester,51.0632,-1.3080,45000
Colchester,51.8890,0.9040,122000
Chichester,50.8360,-0.7790,27000
Doncaster,53.5228,-1.1285,110000
Lancaster,54.0470,-2.8010,52000
Cirencester,51.7180,-1.9680,20000
Gloucester,51.8642,-2.2380,130000
Worcester,52.1920,-2.2200,100000
Leicester,52.6369,-1.1398,355000
Lincoln,53.2307,-0.5406,100000
Aberdeen,57.1497,-2.0943,200000
Aberystwyth,52.4140,-4.0810,16000
Penzance,50.1190,-5.5370,21000
Penrith,54.6640,-2.7550,15000
Llandudno,53.3240,-3.8270,20000
Inverness,57.4778,-4.2247,47000
London,51.5074,-0.1278,8900000
Dover,51.1279,1.3134,31000
Richmond,51.4613,-0.3037,21000
Beaulieu,50.8190,-1.4520,700
Montgomery,52.5620,-3.1470,1300
